hallgatoid	vizsgaid	jeldatum	ledatum	igazolt	jegy
SL.2776	210	2006.12.26			2
WA.8639	318	2006.12.26			4
ÁS.7670	20	2006.12.26			3
NL.0666	46	2006.12.26			1
HD.5835	196	2006.12.26			4
NK.3783	361	2006.12.26			5
SB.5954	85	2006.12.17			5
GZ.2610	8	2006.12.26			2
VZ.9407	352	2006.12.26	2006.12.26		
HÁ.9604	411	2006.12.26			3
HÁ.9604	211	2006.12.26			3
SE.5166	154	2006.12.27		-1	
BK.0518	291	2006.12.16			4
HO.9226	334	2006.12.27			1
ZV.6094	105	2006.12.16	2006.12.16		
VG.9528	227	2006.12.27			1
EH.0733	166	2006.12.27			1
TL.7601	93	2006.12.27			1
SZ.2133	284	2006.12.27			4
BR.7818	184	2006.12.27			
KÁ.7195	92	2006.12.27			2
BD.8119	221	2006.12.27			1
HR.5369	190	2006.12.19			3
KN.8713	355	2006.12.27	2006.12.29		
KA.9211	349	2006.12.15			3
OZ.6658	203	2006.12.27	2006.12.27		
SB.9701	371	2006.12.27			2
LG.7815	124	2006.12.27		-1	
GK.1748	107	2006.12.17			1
HD.9079	228	2006.12.16			
UI.5361	180	2006.12.27			1
JF.5515	227	2006.12.27			3
AG.3206	73	2006.12.27	2006.12.27		
AG.3206	126	2006.12.18			1
MF.5886	12	2006.12.26	2006.12.26		
KB.1173	55	2006.12.27		-1	
KO.6324	260	2006.12.27	2006.12.31		
SB.1666	444	2006.12.27	2006.12.28		
TS.9114	141	2006.12.27			1
BB.4513	59	2006.12.27			2
SR.9913	66	2006.12.27			2
SR.9913	437	2006.12.27	2006.12.29		
ML.8721	215	2006.12.27			3
VA.2259	429	2006.12.27			1
SC.0666	20	2006.12.27			2
RL.4390	387	2006.12.27			2
PR.2086	249	2006.12.17			1
KR.8740	126	2006.12.19			4
CK.7336	296	2006.12.27	2006.12.28		
JZ.0375	240	2006.12.27			4
LP.3065	9	2006.12.27			4
LP.3065	157	2006.12.27			2
PV.9623	169	2006.12.27		-1	
PV.9623	66	2006.12.27			
KZ.3839	308	2006.12.24			2
LA.4055	87	2006.12.24			3
KL.0128	151	2006.12.27			1
KT.3375	85	2006.12.19		-1	
KI.8112	180	2006.12.27			4
DZ.5170	7	2006.12.17			3
SE.5166	225	2006.12.28	2007.01.03		
VE.3175	173	2006.12.28			1
OZ.4473	313	2006.12.19			5
SA.4395	93	2006.12.28			3
BE.0864	305	2006.12.28			1
BE.0864	208	2006.12.28			2
NS.4608	42	2006.12.28	2006.12.28		
OI.5285	7	2006.12.17		-1	
TL.7601	44	2006.12.28			4
BM.8747	203	2006.12.28			4
SB.1519	151	2006.12.28			1
NK.4348	410	2006.12.28			3
BR.7818	49	2006.12.28			3
GD.2662	277	2006.12.21			4
GN.4133	325	2006.12.15			
FN.9800	419	2006.12.28	2006.12.28		
CN.2071	64	2006.12.28			1
KA.9211	363	2006.12.17	2006.12.17		
HP.4209	287	2006.12.20			2
JT.5373	99	2006.12.16			1
BL.4380	64	2006.12.28	2006.12.28		
TK.9485	323	2006.12.28			4
TP.6487	175	2006.12.21			
BF.6471	334	2006.12.28			1
AG.3206	312	2006.12.25		-1	
BÁ.5302	37	2006.12.28			1
CB.9649	119	2006.12.25			1
BB.8483	292	2006.12.28			2
CL.7897	165	2006.12.28			4
PP.3278	309	2006.12.28			1
MD.7267	49	2006.12.28			2
SZ.1507	160	2006.12.28			1
KO.3883	50	2006.12.24			5
NB.3720	81	2006.12.28			1
ME.5005	141	2006.12.28			
PÁ.8866	268	2006.12.28			3
MR.6252	168	2006.12.19			4
LC.1783	271	2006.12.25			3
CC.8149	112	2006.12.28		-1	
VA.2259	94	2006.12.28			2
KR.1250	291	2006.12.17			3
KZ.0655	278	2006.12.28			1
HJ.9546	154	2006.12.28			
SM.9865	433	2006.12.28			3
BÉ.6009	344	2006.12.28			3
PZ.3422	95	2006.12.28			1
BH.2477	398	2006.12.16			1
DZ.0482	184	2006.12.28			2
ZA.1437	32	2006.12.28			3
BF.9222	159	2006.12.28			1
GF.7188	415	2006.12.28			1
DF.9341	117	2006.12.26		-1	
TÁ.5800	10	2006.12.21			5
NE.7433	253	2006.12.28			3
HÁ.9604	365	2006.12.20			
DN.4292	338	2006.12.28			1
SA.2066	362	2006.12.28			
LN.4151	363	2006.12.18	2006.12.18		
KA.2208	264	2006.12.29	2006.12.31		
BK.0518	418	2006.12.29			1
BA.1855	303	2006.12.29			
DR.0586	39	2006.12.18			1
HL.5256	210	2006.12.29			4
SA.3491	129	2006.12.29	2007.01.13		
KG.2387	24	2006.12.29		-1	
MR.4488	245	2006.12.29			1
NL.4599	246	2006.12.24			2
DD.1631	239	2006.12.17			5
DM.1593	417	2006.12.26			2
HF.1310	80	2006.12.29			5
KG.6854	376	2006.12.29		-1	
HR.5369	65	2006.12.26			1
BR.7944	7	2006.12.17			2
LZ.5815	264	2006.12.29			4
ZM.2168	122	2006.12.29			2
DH.0622	34	2006.12.29			
PT.8998	110	2006.12.29			3
MT.8909	178	2006.12.29			5
BD.5403	382	2006.12.29			1
ÖI.7617	359	2006.12.15	2006.12.17		
BK.9031	280	2006.12.29		-1	
SD.3531	56	2006.12.25			
DD.1368	320	2006.12.16			1
VA.0359	239	2006.12.18			5
KZ.0395	284	2006.12.29	2007.01.02		
WA.7808	96	2006.12.29			3
NE.8938	249	2006.12.18			1
PK.8359	306	2006.12.29			3
RN.8935	268	2006.12.29			3
KO.3883	403	2006.12.29			2
PÁ.8866	227	2006.12.29			4
KT.3693	8	2006.12.29			
RÁ.9031	124	2006.12.26			
HD.5835	130	2006.12.29			3
NK.3080	253	2006.12.29	2007.01.01		
CK.7336	441	2006.12.20	2006.12.20		
PZ.3422	221	2006.12.29			2
KM.0064	415	2006.12.29			2
BR.7690	249	2006.12.16			1
MG.0051	376	2006.12.29			
GA.2975	49	2006.12.29	2007.01.01		
VD.4792	259	2006.12.29	2007.01.01		
ET.9171	214	2006.12.20	2006.12.20		
KT.3375	89	2006.12.29		-1	
FA.7252	395	2006.12.17			
ZK.0196	81	2006.12.26	2006.12.27		
VM.4330	181	2006.12.29		-1	
HÁ.9604	156	2006.12.29			4
TR.9276	43	2006.12.29			3
TR.9276	224	2006.12.19			2
FV.6217	199	2006.12.29			
DZ.5170	134	2006.12.17		-1	
SE.5166	414	2006.12.30	2006.12.30		
KN.4319	156	2006.12.30			2
JA.0000	259	2006.12.30			3
SK.7549	337	2006.12.16			2
FK.0490	347	2006.12.30			3
EH.0733	109	2006.12.30			1
EH.0733	72	2006.12.30		-1	
PT.6509	284	2006.12.30			5
JÁ.0898	59	2006.12.30			2
SP.3373	187	2006.12.30			2
VÁ.1907	233	2006.12.19			2
VÁ.1907	322	2006.12.30			3
GD.2662	310	2006.12.30	2006.12.30		
GA.5549	192	2006.12.27			3
CN.2071	109	2006.12.30			
HP.4209	291	2006.12.16			3
CB.0357	113	2006.12.30			3
DH.0622	36	2006.12.30			
LZ.3412	276	2006.12.27			
GF.0708	74	2006.12.17			1
VJ.5418	330	2006.12.20			4
BK.9868	240	2006.12.30			
NE.8938	355	2006.12.30			1
DO.7540	72	2006.12.30			
GA.5664	144	2006.12.27		-1	
KD.9655	381	2006.12.18			2
KO.3883	79	2006.12.30			
NE.8592	142	2006.12.16			1
GN.4140	24	2006.12.30			1
RR.1938	295	2006.12.30			2
HD.5835	38	2006.12.25			3
TS.7842	122	2006.12.30			4
HB.5620	128	2006.12.30			3
PJ.2796	273	2006.12.30			4
PM.3407	414	2006.12.30	2006.12.31		
BK.5793	257	2006.12.30			4
GZ.2610	79	2006.12.30			2
HN.3762	179	2006.12.20	2006.12.20		
FZ.0441	343	2006.12.26		-1	
SL.0953	324	2006.12.30			1
FB.6369	219	2006.12.30	2007.01.02		
TD.0542	46	2006.12.30	2006.12.30		
SL.7295	225	2006.12.31			4
SA.4395	47	2006.12.18	2006.12.20		
DT.3892	47	2006.12.19			1
ZV.6094	102	2006.12.17			4
LG.7708	353	2006.12.31			4
KB.1685	439	2006.12.18	2006.12.19		
TR.0881	156	2006.12.31			3
VZ.6218	419	2006.12.31			3
VG.9528	441	2006.12.19	2006.12.20		
VG.9528	444	2006.12.31	2006.12.31		
CE.9033	403	2006.12.31			4
KL.3512	418	2006.12.31			1
NI.0775	295	2006.12.31			2
FL.5093	341	2006.12.16			5
BC.6620	394	2006.12.31			1
SP.7024	277	2006.12.21	2006.12.21		
KÁ.7195	382	2006.12.31			
KF.4505	419	2006.12.31			3
BP.1705	305	2006.12.31			2
JR.7464	223	2006.12.31			
SÁ.2118	35	2006.12.31			1
CB.0357	266	2006.12.31			2
KZ.5018	37	2006.12.31			4
ZT.0107	297	2006.12.31			1
BO.5754	5	2006.12.31			2
DT.8003	442	2006.12.25			2
GF.0708	418	2006.12.31			5
HT.2648	27	2006.12.17			5
TK.9485	231	2006.12.31			2
SZ.7645	391	2006.12.31			2
LT.9524	55	2006.12.25			4
TG.1437	232	2006.12.19			4
KB.1173	354	2006.12.31	2007.01.02		
DD.1368	223	2006.12.31			3
TT.9111	78	2006.12.17			4
BZ.9764	346	2006.12.31			3
FE.7877	48	2006.12.31			
BZ.5983	77	2006.12.31			4
NN.1936	128	2006.12.31	2006.12.31		
GA.5664	155	2006.12.26			5
BJ.9084	47	2006.12.20			2
BJ.1909	230	2006.12.31			3
LC.1783	439	2006.12.19			2
GN.4140	90	2006.12.31		-1	
MG.2583	1	2006.12.31			2
KZ.1562	42	2006.12.31			3
BD.7017	45	2006.12.31			4
TS.7842	408	2006.12.31		-1	
KD.0713	417	2006.12.28			2
BL.2288	153	2006.12.31			1
TF.2566	44	2006.12.31			5
KG.9294	150	2006.12.31	2006.12.31		
MG.0051	165	2006.12.31			2
GZ.2610	265	2006.12.31		-1	
HN.3762	423	2006.12.31			4
ST.1388	286	2006.12.31	2007.01.06		
LA.4055	289	2006.12.31			2
KM.9421	243	2006.12.31			4
FB.6369	342	2006.12.21	2006.12.21		
KA.5612	399	2006.12.31	2007.01.02		
NÁ.8086	307	2006.12.25	2006.12.25		
SB.7380	326	2006.12.18	2006.12.18		
TD.1781	319	2007.01.01	2007.01.01		
ZV.6094	209	2006.12.17			1
JT.2233	162	2007.01.01			4
VZ.6218	338	2007.01.01			1
VZ.0162	60	2007.01.01			4
ZE.8808	332	2007.01.01	2007.01.02		
KE.1884	165	2007.01.01			3
SP.7024	147	2007.01.01	2007.01.02		
KA.4781	119	2006.12.24		-1	
HZ.1789	143	2007.01.01		-1	
IR.6871	191	2007.01.01			2
SB.4943	391	2007.01.01			1
KG.6854	423	2007.01.01			2
DP.6361	29	2006.12.27	2006.12.27		
BR.7944	40	2007.01.01			1
ZM.2168	412	2006.12.17			2
DH.0622	68	2007.01.01			4
SK.6666	440	2007.01.01			4
GK.1748	311	2006.12.21			2
VK.1033	404	2007.01.01			2
TP.6487	9	2007.01.01			3
SG.0599	157	2007.01.01			1
BK.9868	77	2007.01.01			4
CB.9649	286	2007.01.01			
FK.5630	253	2007.01.01			3
VA.0359	88	2007.01.01	2007.01.05		
BZ.5983	376	2007.01.01	2007.01.04		
GA.5664	141	2007.01.01		-1	
NB.3720	144	2006.12.26			5
PG.1224	414	2007.01.01			4
KZ.5427	162	2007.01.01		-1	
SA.5551	345	2007.01.01		-1	
GN.4140	417	2006.12.26			4
VA.2259	13	2007.01.01	2007.01.01		
TB.5503	20	2007.01.01			1
NA.3383	435	2007.01.01			4
SR.3743	353	2007.01.01	2007.01.02		
RÁ.0491	336	2007.01.01			2
BD.7017	429	2006.12.26			2
SZ.5839	204	2006.12.15			2
FA.4088	268	2007.01.01			2
BR.7690	62	2007.01.01			2
TF.2566	50	2006.12.24			2
HI.5860	405	2006.12.15			
VD.4792	65	2006.12.28			1
KB.7935	236	2007.01.01			4
NS.0091	422	2006.12.19			1
FB.6369	33	2007.01.01			4
KA.5612	191	2007.01.01			2
KI.8112	366	2006.12.17			3
PG.8846	315	2007.01.02			2
BK.0518	189	2007.01.02			5
KL.3902	440	2007.01.02	2007.01.02		
DT.3892	278	2007.01.02			5
HL.5256	386	2006.12.17			
ZV.6094	81	2006.12.27			3
SZ.2133	441	2006.12.19			3
KI.1361	184	2007.01.02	2007.01.02		
LO.1112	158	2006.12.25		-1	
WZ.8323	236	2007.01.02		-1	
HR.5369	147	2007.01.02	2007.01.06		
FG.2306	190	2006.12.19			2
KR.2012	142	2006.12.16			2
ME.0837	317	2007.01.02			2
JF.5515	424	2007.01.02			1
KA.7622	100	2007.01.02			2
AG.3206	145	2007.01.01			3
ZZ.2484	413	2007.01.02			4
BB.2406	368	2006.12.20	2006.12.21		
CB.9649	342	2006.12.19			4
VV.8246	88	2007.01.02			1
BZ.9764	2	2007.01.02			3
HE.4604	110	2007.01.02			
PP.3278	431	2007.01.02			5
WA.7808	342	2006.12.21			3
KD.9655	378	2007.01.02			4
BJ.9084	352	2006.12.26		-1	
BJ.1909	431	2007.01.02			4
SÁ.1945	347	2007.01.02			2
PZ.5820	210	2007.01.02			3
HJ.9546	3	2006.12.17			
SV.4386	205	2007.01.01			5
VP.4293	52	2006.12.31			5
GG.4642	102	2006.12.17			2
FA.4088	240	2007.01.02			2
HI.0471	107	2006.12.16			3
IV.8600	33	2007.01.02			2
SP.1261	108	2007.01.02			1
KO.6387	426	2007.01.02			5
TD.0542	72	2007.01.02			4
VM.4330	62	2007.01.02			4
TÁ.6462	296	2007.01.02			5
FN.3441	66	2007.01.02	2007.01.03		
DN.4292	418	2006.12.30		-1	
KA.2208	314	2007.01.03	2007.01.05		
SK.7549	260	2007.01.03		-1	
KL.3902	23	2006.12.19			3
KL.3902	329	2007.01.03			4
BJ.6683	211	2006.12.26	2006.12.26		
TR.0881	442	2006.12.27	2006.12.27		
VZ.6218	312	2006.12.25	2006.12.26		
MM.1932	5	2007.01.03			5
KÁ.8010	368	2006.12.20			2
SP.7024	331	2007.01.03	2007.01.03		
WZ.8323	179	2006.12.19		-1	
DP.6361	199	2007.01.03			4
TG.7327	67	2007.01.03			2
BR.7944	372	2006.12.17			5
LZ.5815	370	2007.01.03			3
LZ.5815	270	2006.12.26			3
ÉI.1563	241	2007.01.03			5
SA.3924	357	2007.01.03			1
SZ.7645	182	2006.12.25			3
PB.2815	67	2007.01.03			3
SI.4200	407	2007.01.03			5
LI.5564	288	2006.12.25			1
CM.4548	47	2006.12.18			4
NM.2008	237	2006.12.15		-1	
KT.0459	347	2007.01.03			2
SZ.1507	276	2006.12.27			1
NE.8592	409	2007.01.03		-1	
SI.9506	173	2007.01.03	2007.01.03		
CC.8149	431	2007.01.03		-1	
BV.8613	417	2006.12.27			2
CA.5867	363	2006.12.19			1
BJ.3138	224	2006.12.20	2006.12.20		
FI.7903	90	2007.01.03			2
NÁ.0883	112	2007.01.01			2
NT.2825	343	2006.12.24			1
BL.2493	52	2006.12.31			1
SE.4988	2	2007.01.03			1
FV.6217	20	2007.01.03		-1	
SZ.2526	55	2006.12.25	2006.12.25		
HO.9226	51	2007.01.04			1
TD.1781	86	2007.01.04			5
FB.9611	155	2006.12.26			1
SZ.3265	103	2007.01.02			1
DF.0284	86	2007.01.04	2007.01.05		
BT.6827	210	2007.01.04			4
BE.4516	295	2007.01.04			2
BE.5502	151	2007.01.04		-1	
BD.2876	202	2007.01.04	2007.01.04		
BT.7290	130	2007.01.02			3
TK.9485	313	2006.12.21	2006.12.21		
MG.4956	123	2006.12.16			3
TS.8046	205	2007.01.01			2
LI.5564	6	2006.12.21	2006.12.21		
LI.5564	75	2007.01.01			2
BV.3992	77	2007.01.04			2
SE.8312	135	2007.01.04			2
DT.2128	417	2006.12.26			2
LC.1783	165	2007.01.04			2
SC.0593	251	2007.01.04	2007.01.06		
KZ.1562	200	2007.01.04			3
HM.1325	140	2007.01.04			5
RÁ.9031	66	2007.01.04			1
SG.4984	421	2006.12.16			3
KG.9294	92	2006.12.28			1
PL.3848	237	2006.12.16	2006.12.16		
MG.0051	202	2007.01.04			4
KZ.3839	256	2007.01.04			3
KN.5091	326	2006.12.18			3
AZ.4317	162	2007.01.04			3
AZ.4317	343	2006.12.24	2006.12.24		
IV.8600	161	2007.01.04			4
VZ.2157	176	2006.12.25			1
VL.8552	432	2007.01.04			1
SE.4988	12	2006.12.24			3
SA.2066	224	2006.12.20			2
SL.7295	145	2006.12.30		-1	
KA.2208	120	2006.12.20			1
BK.0518	188	2007.01.05			5
CI.3333	68	2007.01.05			4
JT.2233	271	2006.12.25			2
MV.6897	8	2007.01.05		-1	
KI.1361	260	2007.01.05			1
EL.3713	300	2007.01.05			5
WT.5063	177	2007.01.01			3
SP.3373	68	2007.01.05			2
SK.9881	167	2007.01.05			2
HZ.5970	268	2007.01.05	2007.01.06		
JC.5136	61	2007.01.05			1
KA.4781	106	2007.01.05			5
TZ.5158	351	2007.01.02			2
HR.5369	309	2007.01.05			2
ZM.2168	148	2006.12.15	2006.12.17		
EZ.8360	3	2006.12.19	2006.12.19		
NA.4463	286	2007.01.05	2007.01.08		
MI.1330	107	2006.12.18			1
LV.9121	407	2007.01.05	2007.01.05		
NA.8989	167	2007.01.05			2
VE.9558	171	2006.12.20			1
KR.1250	130	2006.12.31			1
KZ.1562	288	2006.12.25			1
NA.3383	185	2007.01.05			2
RR.1938	442	2006.12.27			1
VP.4293	45	2007.01.05			3
BL.3216	331	2007.01.03			
TT.5109	45	2007.01.05			3
KL.0555	214	2006.12.18			4
VI.6465	315	2007.01.05			4
HE.1802	199	2007.01.05	2007.01.08		
JA.1261	9	2007.01.05	2007.01.07		
SP.1261	232	2006.12.19		-1	
ML.8755	141	2007.01.05	2007.01.06		
DK.7517	374	2007.01.06			1
JA.0000	425	2007.01.06			2
CL.2002	142	2006.12.17			
IB.7575	62	2007.01.06			1
VK.5984	319	2006.12.31			3
DT.3892	71	2007.01.06			1
FS.9718	244	2007.01.06			1
FK.0490	360	2007.01.06			1
ST.7445	208	2007.01.03			3
FV.9396	326	2006.12.17	2006.12.18		
KI.1361	251	2007.01.06		-1	
NG.2881	372	2006.12.17	2006.12.17		
WZ.8323	137	2006.12.19	2006.12.19		
BA.2113	355	2007.01.03	2007.01.04		
OZ.6658	187	2007.01.06			1
MP.2200	117	2006.12.27	2006.12.27		
EZ.8360	249	2006.12.18	2006.12.18		
VT.9241	231	2007.01.06			1
SG.0052	370	2007.01.06			1
HZ.0315	107	2006.12.17			1
HK.4101	376	2007.01.06			1
BZ.9764	129	2007.01.06	2007.01.13		
BV.6067	367	2007.01.06	2007.01.06		
EJ.8890	371	2007.01.06			3
VA.2259	395	2006.12.16			1
SC.0666	430	2007.01.06			4
GG.4642	312	2006.12.24			1
DZ.2573	77	2007.01.06			3
KL.2811	303	2007.01.06	2007.01.07		
SG.4984	79	2007.01.06			2
KM.0064	345	2007.01.06		-1	
BF.9222	228	2006.12.17			1
BS.8812	95	2007.01.06			2
MG.0051	2	2007.01.06			4
VB.8083	92	2006.12.28			3
NT.2825	179	2006.12.19			3
IV.8600	291	2006.12.16			3
BD.1068	75	2007.01.01			3
JP.2869	363	2006.12.19			3
PC.8778	17	2007.01.02			3
ZK.0196	159	2007.01.06		-1	
ML.8755	276	2006.12.27	2006.12.27		
SE.5166	252	2006.12.18			4
HA.6109	112	2006.12.31			1
BT.4289	107	2006.12.18			4
TL.5319	56	2006.12.25			1
BB.4956	214	2006.12.18	2006.12.19		
ND.5203	347	2007.01.07	2007.01.07		
SZ.2133	103	2006.12.31			3
WT.5063	380	2007.01.07			5
VÁ.1907	355	2007.01.02		-1	
MP.1548	256	2007.01.03		-1	
KL.1723	141	2007.01.07	2007.01.07		
ÁE.4776	379	2007.01.07			4
MN.9696	85	2006.12.18			2
JE.5179	309	2007.01.07			2
RA.8864	109	2007.01.07			3
BE.4516	315	2007.01.07			3
SA.3924	46	2007.01.07		-1	
FK.2581	349	2006.12.16			2
VN.5671	316	2007.01.07	2007.01.07		
VN.5671	32	2007.01.07			4
BK.9868	274	2007.01.02			4
KB.1173	430	2007.01.07			5
KB.1173	91	2007.01.07			1
TS.8046	195	2006.12.27			2
KK.9708	238	2006.12.18			1
HE.4604	150	2007.01.03			3
KZ.0395	317	2007.01.07		-1	
PK.8359	134	2006.12.16			1
FM.2056	153	2007.01.07			3
VE.9558	247	2007.01.07			2
MR.6252	194	2006.12.17			2
KB.0973	8	2007.01.07			4
BJ.1909	405	2006.12.17			4
GN.4140	315	2007.01.07			4
BÉ.6108	246	2006.12.25	2006.12.25		
RK.5679	378	2007.01.07			2
KZ.0655	17	2007.01.04			4
HJ.9546	342	2006.12.19			2
VA.6073	187	2007.01.07			
FI.7903	253	2007.01.07			1
TT.5109	247	2007.01.07			3
MP.1869	117	2006.12.27	2006.12.27		
HI.5860	442	2006.12.25			2
KN.5091	346	2007.01.07			
FI.2594	192	2006.12.26		-1	
FI.2594	300	2007.01.07			3
UD.6021	298	2007.01.07			1
AZ.4317	174	2007.01.07	2007.01.10		
KV.7158	149	2006.12.28	2006.12.28		
VZ.9407	111	2007.01.07			2
TÁ.6462	345	2007.01.07			2
KO.7409	177	2007.01.03			2
ZB.0230	86	2007.01.07			3
AJ.0935	386	2006.12.18			5
SL.7295	121	2007.01.08	2007.01.10		
HA.6109	343	2006.12.26		-1	
BA.1855	326	2006.12.16			
TE.5035	25	2007.01.03			3
MR.0674	15	2007.01.08			4
CI.3333	126	2006.12.19	2006.12.20		
NS.4608	241	2007.01.08			4
SA.3491	281	2007.01.08	2007.01.08		
FV.9396	371	2007.01.08			5
EH.0733	227	2007.01.02			
KN.8193	385	2007.01.08			
KP.9436	15	2007.01.08	2007.01.11		
NG.2881	280	2007.01.02			1
DF.0284	45	2007.01.08			2
FL.5093	346	2007.01.08			2
BR.7818	13	2007.01.08		-1	
GD.2662	363	2006.12.19	2006.12.19		
GP.7213	141	2007.01.08			4
RA.1998	178	2007.01.08			
HF.1310	336	2007.01.08			4
KM.8913	122	2007.01.02	2007.01.02		
TG.7327	215	2007.01.08			1
EB.5954	116	2007.01.03		-1	
ÉI.1563	8	2007.01.08			4
HP.4209	371	2007.01.08			5
ME.5423	103	2007.01.02	2007.01.02		
NS.3996	280	2006.12.31			1
KZ.8343	41	2007.01.08	2007.01.09		
NN.4315	241	2007.01.08			2
KK.9708	263	2007.01.08		-1	
CM.4548	355	2007.01.04	2007.01.04		
SZ.1507	336	2007.01.08		-1	
KF.5885	357	2007.01.08			1
RN.8935	189	2007.01.08			2
KP.1420	318	2007.01.08			3
KG.9667	33	2007.01.08			
KR.8740	386	2006.12.16			3
BL.3216	332	2007.01.08			3
MB.1464	50	2006.12.26		-1	
VG.3314	257	2007.01.08		-1	
KG.6963	337	2006.12.17			2
MP.1869	226	2007.01.08			2
VJ.7309	52	2006.12.30			3
KV.7158	95	2007.01.08			3
KG.2937	409	2007.01.08	2007.01.08		
VZ.9407	409	2007.01.08			1
TÁ.6462	349	2006.12.15			1
DZ.5170	104	2006.12.18		-1	
LK.8140	338	2007.01.09			3
LK.8140	210	2007.01.09			2
SN.0628	410	2007.01.09	2007.01.13		
SL.0974	346	2007.01.09			2
SL.0974	96	2007.01.09			2
OZ.4473	81	2006.12.28			2
BE.0864	180	2007.01.09			1
KR.2297	222	2007.01.05			3
FB.9611	355	2007.01.02			4
HR.4421	86	2007.01.09			2
KP.9436	254	2006.12.19	2006.12.19		
KI.1361	197	2006.12.26			5
ZE.8808	158	2006.12.25	2006.12.26		
GN.4133	93	2006.12.31			1
KM.8913	294	2006.12.18	2006.12.18		
SB.9363	368	2006.12.19			3
KN.8713	65	2006.12.27			
KN.2792	243	2007.01.09	2007.01.11		
TV.2732	441	2006.12.19			1
BO.5754	150	2007.01.02			5
KO.6324	90	2007.01.07			4
KO.6324	308	2006.12.25			1
KZ.5876	337	2006.12.18			1
BT.9896	45	2007.01.07			3
MP.4948	431	2007.01.03	2007.01.03		
SA.0726	245	2007.01.09			
DT.2128	8	2007.01.09		-1	
KP.1420	375	2006.12.27			
KZ.0655	411	2007.01.09			4
RL.4390	229	2007.01.09		-1	
WA.8639	23	2006.12.18			1
MR.2266	297	2006.12.31	2007.01.01		
HB.5620	12	2006.12.25			3
BR.4487	92	2006.12.28			5
VA.6073	22	2007.01.03			1
KZ.3839	329	2007.01.09			2
UD.6021	70	2007.01.03			4
BD.1068	354	2007.01.03			3
KÁ.3479	6	2006.12.20		-1	
LK.8140	102	2006.12.17			4
LK.8140	15	2007.01.10			3
DK.7517	52	2006.12.31	2007.01.01		
BG.0504	273	2007.01.02			1
KP.9436	286	2007.01.10			1
SZ.3265	422	2006.12.17			2
LO.1112	150	2007.01.02		-1	
BE.1945	22	2007.01.02			2
PK.9395	64	2007.01.10	2007.01.10		
BO.5754	112	2006.12.31			1
DT.8003	145	2007.01.01			2
BT.7290	307	2006.12.24			1
TP.5347	45	2007.01.08	2007.01.08		
TK.9485	347	2007.01.10			4
KJ.0231	312	2006.12.25			2
LT.9524	268	2007.01.10		-1	
ÖI.7617	436	2006.12.31			5
NS.3996	353	2007.01.02		-1	
DD.1368	325	2006.12.17			4
MI.1330	382	2006.12.30			2
SK.4533	256	2007.01.02			2
VV.8246	356	2007.01.10			3
KZ.0395	189	2007.01.10	2007.01.10		
JA.9259	335	2007.01.10			2
FZ.2691	246	2006.12.25	2006.12.25		
KO.3883	352	2006.12.27			4
NB.3720	124	2006.12.27		-1	
SP.6924	317	2007.01.10			4
PD.1010	415	2007.01.10	2007.01.10		
PR.2086	178	2007.01.10			3
GZ.1249	114	2007.01.10		-1	
KM.0064	361	2007.01.10			3
BL.4357	408	2007.01.10			4
MR.9395	381	2006.12.19			3
DF.9341	266	2007.01.10			1
SK.0547	161	2007.01.10			2
HE.1802	50	2006.12.24	2006.12.25		
PV.9623	70	2007.01.02			
HG.8463	369	2007.01.10	2007.01.10		
JA.1261	277	2006.12.20	2006.12.20		
KA.6760	191	2006.12.31			1
NG.3685	93	2006.12.31			4
PE.3881	330	2006.12.20			5
SE.4988	209	2006.12.15	2006.12.17		
SA.2066	411	2007.01.10			1
DR.0586	157	2007.01.07			4
TE.5035	166	2007.01.01			2
SG.2482	150	2007.01.03			5
BE.0864	13	2007.01.08			
DT.3892	160	2007.01.11			3
LG.7708	355	2007.01.02			4
PC.4269	371	2007.01.08			5
PC.4269	204	2006.12.15			4
VG.9528	143	2006.12.30	2007.01.01		
FI.4848	365	2006.12.20	2006.12.20		
NF.3575	112	2006.12.31	2006.12.31		
JR.7464	14	2007.01.07			1
BE.1945	298	2007.01.11			4
CB.0357	388	2007.01.11			2
PK.9395	317	2007.01.11		-1	
KD.0506	293	2007.01.11			5
ST.2390	165	2007.01.11			2
ME.5423	317	2007.01.11			3
TP.6487	354	2007.01.02			2
KA.7622	211	2006.12.25		-1	
MT.8909	359	2006.12.16			2
BB.8483	199	2007.01.10			2
FE.7877	416	2007.01.11			2
BI.0599	176	2006.12.27		-1	
KP.2242	161	2007.01.11			5
HR.6312	295	2007.01.11			4
BÉ.6108	34	2007.01.11			1
RK.5679	183	2007.01.11			3
VA.2259	60	2006.12.31			3
PD.1010	73	2007.01.11		-1	
HM.1325	99	2006.12.16			3
HD.5835	361	2007.01.11	2007.01.11		
SZ.5839	100	2007.01.11			4
PM.3407	437	2006.12.31			1
BL.2493	51	2007.01.11	2007.01.11		
LE.1664	355	2007.01.04			4
FA.7252	197	2006.12.28		-1	
KÁ.3479	183	2007.01.11			1
KÁ.3479	224	2006.12.19			3
JP.5653	102	2006.12.18			
ÖK.7126	444	2007.01.02			2
SL.0974	131	2007.01.12			3
DT.3892	66	2007.01.12	2007.01.14		
NL.4599	74	2006.12.17			3
VG.9528	181	2007.01.07			1
KP.0837	419	2007.01.12			2
NN.1187	378	2007.01.05			
SG.6867	149	2006.12.28			3
KÁ.7195	61	2007.01.12			1
