az	peldanyaz	diakaz	el	vissza
2503	1047	59	2009.08.07	2009.08.09
2504	1060	146	2009.08.07	2009.08.25
2505	633	193	2009.08.07	2009.08.11
2506	880	76	2009.08.07	2009.08.24
2507	1090	126	2009.08.07	2009.08.18
2508	108	158	2009.08.08	2009.08.09
2509	756	249	2009.08.08	2009.08.22
2510	627	75	2009.08.08	2009.08.09
2511	113	87	2009.08.08	2009.08.15
2512	20	226	2009.08.08	2009.08.11
2513	587	261	2009.08.08	2009.08.15
2514	653	90	2009.08.08	2009.08.13
2515	455	121	2009.08.08	2009.08.22
2516	647	57	2009.08.08	2009.08.25
2517	949	123	2009.08.08	2009.09.05
2518	344	213	2009.08.08	2009.08.26
2519	867	265	2009.08.08	2009.08.13
2520	477	200	2009.08.08	2009.09.01
2521	374	256	2009.08.08	2009.08.10
2522	397	244	2009.08.08	2009.08.18
2523	435	35	2009.08.08	2009.08.14
2524	696	42	2009.08.08	2009.08.21
2525	752	252	2009.08.08	2009.08.09
2526	766	216	2009.08.08	2009.08.17
2527	63	30	2009.08.08	2009.08.14
2528	353	56	2009.08.08	2009.08.09
2529	536	155	2009.08.08	2009.09.02
2530	592	184	2009.08.08	2009.08.09
2531	1039	69	2009.08.08	2009.08.11
2532	904	245	2009.08.08	2009.08.10
2533	225	135	2009.08.08	2009.08.23
2534	281	91	2009.08.08	2009.08.27
2535	61	238	2009.08.08	2009.08.27
2536	416	264	2009.08.08	2009.08.12
2537	282	148	2009.08.08	2009.08.29
2538	70	268	2009.08.08	2009.08.27
2539	628	197	2009.08.08	2009.08.09
2540	81	37	2009.08.08	2009.08.31
2541	636	87	2009.08.08	2009.08.15
2542	161	212	2009.08.08	2009.08.12
2543	254	258	2009.08.08	2009.08.11
2544	900	68	2009.08.08	2009.08.10
2545	768	153	2009.08.08	2009.08.30
2546	723	88	2009.08.08	2009.08.11
2547	961	261	2009.08.08	2009.08.13
2548	94	178	2009.08.08	2009.09.05
2549	40	121	2009.08.08	2009.09.07
2550	270	99	2009.08.08	2009.08.09
2551	985	68	2009.08.08	2009.09.03
2552	641	29	2009.08.08	2009.08.15
2553	643	64	2009.08.08	2009.08.26
2554	250	42	2009.08.08	2009.08.14
2555	714	198	2009.08.08	2009.08.09
2556	736	211	2009.08.08	2009.08.15
2557	693	180	2009.08.08	2009.09.02
2558	291	120	2009.08.08	2009.08.24
2559	1100	164	2009.08.08	2009.08.10
2560	1101	125	2009.08.08	2009.08.13
2561	575	44	2009.08.08	2009.08.10
2562	630	258	2009.08.08	2009.08.11
2563	150	63	2009.08.08	2009.09.02
2564	537	139	2009.08.08	2009.08.10
2565	797	165	2009.08.08	2009.09.01
2566	930	182	2009.08.08	2009.08.12
2567	259	1	2009.08.08	2009.08.25
2568	475	14	2009.08.08	2009.08.14
2569	761	31	2009.08.08	2009.08.16
2570	240	128	2009.08.08	2009.08.13
2571	856	229	2009.08.08	2009.08.13
2572	624	174	2009.08.09	2009.08.15
2573	627	144	2009.08.09	2009.08.10
2574	44	84	2009.08.09	2009.09.08
2575	116	209	2009.08.09	2009.08.13
2576	498	160	2009.08.09	2009.08.13
2577	382	195	2009.08.09	2009.08.11
2578	295	266	2009.08.09	2009.08.23
2579	657	223	2009.08.09	2009.08.27
2580	664	8	2009.08.09	2009.08.13
2581	730	123	2009.08.09	2009.08.13
2582	1043	150	2009.08.09	2009.08.10
2583	519	37	2009.08.09	2009.08.16
2584	626	187	2009.08.09	2009.08.17
2585	420	186	2009.08.09	2009.08.12
2586	734	135	2009.08.09	2009.08.24
2587	241	226	2009.08.09	2009.08.10
2588	566	267	2009.08.09	2009.09.01
2589	179	266	2009.08.09	2009.08.12
2590	53	147	2009.08.09	2009.08.16
2591	346	14	2009.08.09	2009.09.01
2592	936	81	2009.08.09	2009.08.12
2593	595	201	2009.08.09	2009.08.17
2594	771	55	2009.08.09	2009.08.14
2595	17	185	2009.08.09	2009.08.10
2596	327	79	2009.08.09	2009.08.20
2597	403	97	2009.08.09	2009.08.15
2598	494	5	2009.08.09	2009.08.16
2599	644	45	2009.08.09	2009.09.02
2600	1057	162	2009.08.09	2009.08.14
2601	1079	266	2009.08.09	2009.08.25
2602	939	175	2009.08.09	2009.08.30
2603	694	112	2009.08.09	2009.08.10
2604	987	13	2009.08.09	2009.08.11
2605	807	132	2009.08.09	2009.08.13
2606	23	37	2009.08.09	2009.08.14
2607	1001	247	2009.08.09	2009.08.31
2608	165	227	2009.08.09	2009.08.10
2609	434	16	2009.08.09	2009.08.10
2610	560	91	2009.08.09	2009.08.25
2611	341	206	2009.08.09	2009.08.10
2612	392	43	2009.08.09	2009.08.10
2613	675	246	2009.08.09	2009.08.14
2614	168	21	2009.08.09	2009.08.11
2615	753	245	2009.08.09	2009.09.08
2616	682	89	2009.08.09	2009.08.13
2617	362	161	2009.08.09	2009.08.15
2618	687	157	2009.08.09	2009.08.20
2619	289	161	2009.08.09	2009.08.10
2620	51	183	2009.08.09	2009.08.15
2621	596	227	2009.08.09	2009.08.10
2622	908	88	2009.08.09	2009.08.11
2623	453	78	2009.08.09	2009.08.10
2624	979	216	2009.08.09	2009.09.06
2625	196	16	2009.08.09	2009.08.11
2626	912	201	2009.08.09	2009.08.16
2627	1038	243	2009.08.09	2009.08.13
2628	143	90	2009.08.09	2009.08.25
2629	329	108	2009.08.09	2009.09.06
2630	833	181	2009.08.09	2009.08.10
2631	887	257	2009.08.09	2009.08.19
2632	679	227	2009.08.09	2009.08.21
2633	244	125	2009.08.10	2009.08.13
2634	786	86	2009.08.10	2009.08.17
2635	491	128	2009.08.10	2009.08.30
2636	415	91	2009.08.10	2009.08.20
2637	929	246	2009.08.10	2009.09.01
2638	883	255	2009.08.10	2009.09.05
2639	1049	115	2009.08.10	2009.08.14
2640	191	239	2009.08.10	2009.08.12
2641	989	107	2009.08.10	2009.08.15
2642	906	198	2009.08.10	2009.08.26
2643	816	120	2009.08.10	2009.08.30
2644	686	69	2009.08.10	2009.08.19
2645	1007	266	2009.08.10	2009.09.08
2646	112	157	2009.08.10	2009.08.19
2647	222	235	2009.08.10	2009.08.17
2648	750	113	2009.08.10	2009.08.15
2649	613	210	2009.08.10	2009.08.11
2650	788	82	2009.08.10	2009.08.26
2651	803	191	2009.08.10	2009.08.15
2652	226	109	2009.08.10	2009.08.14
2653	505	142	2009.08.10	2009.08.15
2654	52	19	2009.08.10	2009.08.14
2655	956	258	2009.08.10	2009.08.30
2656	951	161	2009.08.10	2009.08.16
2657	601	190	2009.08.10	2009.08.28
2658	128	152	2009.08.10	2009.08.15
2659	185	115	2009.08.10	2009.08.13
2660	699	167	2009.08.10	2009.08.22
2661	145	120	2009.08.10	2009.09.08
2662	1054	44	2009.08.10	2009.08.31
2663	479	204	2009.08.10	2009.09.01
2664	996	185	2009.08.10	2009.08.30
2665	720	19	2009.08.10	2009.08.14
2666	88	14	2009.08.10	2009.08.28
2667	149	236	2009.08.10	2009.08.16
2668	943	46	2009.08.10	2009.08.21
2669	1026	138	2009.08.10	2009.08.12
2670	89	183	2009.08.10	2009.08.14
2671	169	108	2009.08.10	2009.08.15
2672	486	179	2009.08.10	2009.08.28
2673	496	46	2009.08.10	2009.08.26
2674	904	207	2009.08.10	2009.08.16
2675	188	87	2009.08.10	2009.08.13
2676	165	231	2009.08.10	2009.09.08
2677	532	268	2009.08.10	2009.08.17
2678	941	120	2009.08.10	2009.08.20
2679	824	41	2009.08.10	2009.08.17
2680	790	171	2009.08.10	2009.08.14
2681	829	259	2009.08.10	2009.08.18
2682	6	57	2009.08.10	2009.08.12
2683	277	261	2009.08.10	2009.08.12
2684	796	95	2009.08.10	2009.09.01
2685	916	58	2009.08.10	2009.08.13
2686	823	212	2009.08.10	2009.08.14
2687	894	95	2009.08.10	2009.08.14
2688	798	131	2009.08.10	2009.09.08
2689	90	51	2009.08.10	2009.09.06
2690	579	258	2009.08.10	2009.08.13
2691	421	198	2009.08.10	2009.08.14
2692	783	98	2009.08.10	2009.08.17
2693	964	126	2009.08.10	2009.08.30
2694	921	105	2009.08.10	2009.08.16
2695	986	214	2009.08.10	2009.08.15
2696	1045	233	2009.08.10	2009.08.11
2697	140	175	2009.08.10	2009.08.13
2698	877	164	2009.08.10	2009.08.15
2699	576	97	2009.08.10	2009.09.04
2700	733	178	2009.08.10	2009.09.08
2701	965	55	2009.08.10	2009.08.29
2702	537	23	2009.08.10	2009.08.12
2703	1065	261	2009.08.10	2009.08.12
2704	1066	266	2009.08.10	2009.08.15
2705	1096	10	2009.08.10	2009.08.30
2706	1102	122	2009.08.10	2009.08.15
2707	84	169	2009.08.10	2009.08.17
2708	257	136	2009.08.11	2009.08.30
2709	495	130	2009.08.11	2009.08.14
2710	794	12	2009.08.11	2009.08.15
2711	24	143	2009.08.11	2009.08.18
2712	1041	168	2009.08.11	2009.08.28
2713	47	80	2009.08.11	2009.09.07
2714	30	38	2009.08.11	2009.08.27
2715	506	132	2009.08.11	2009.08.14
2716	795	6	2009.08.11	2009.08.15
2717	1012	181	2009.08.11	2009.09.03
2718	223	232	2009.08.11	2009.08.12
2719	135	36	2009.08.11	2009.08.13
2720	235	16	2009.08.11	2009.08.15
2721	203	146	2009.08.11	2009.09.05
2722	31	171	2009.08.11	2009.08.21
2723	501	97	2009.08.11	2009.09.04
2724	1011	170	2009.08.11	2009.09.10
2725	299	50	2009.08.11	2009.09.02
2726	452	23	2009.08.11	2009.08.16
2727	369	242	2009.08.11	2009.08.13
2728	374	39	2009.08.11	2009.09.03
2729	920	186	2009.08.11	2009.08.13
2730	189	109	2009.08.11	2009.08.28
2731	353	64	2009.08.11	2009.08.25
2732	172	82	2009.08.11	2009.08.31
2733	1014	178	2009.08.11	2009.08.17
2734	910	261	2009.08.11	2009.09.03
2735	892	176	2009.08.11	2009.08.21
2736	919	244	2009.08.11	2009.08.20
2737	363	239	2009.08.11	2009.08.21
2738	523	246	2009.08.11	2009.08.20
2739	574	17	2009.08.11	2009.08.13
2740	785	173	2009.08.11	2009.08.24
2741	925	150	2009.08.11	2009.09.04
2742	245	31	2009.08.11	2009.08.12
2743	508	228	2009.08.11	2009.09.10
2744	320	47	2009.08.11	2009.09.02
2745	972	92	2009.08.11	2009.08.23
2746	356	186	2009.08.11	2009.08.25
2747	658	252	2009.08.11	2009.08.17
2748	520	118	2009.08.11	2009.08.12
2749	723	51	2009.08.11	2009.08.16
2750	220	135	2009.08.11	2009.08.12
2751	246	179	2009.08.11	2009.09.04
2752	201	217	2009.08.11	2009.08.18
2753	1070	72	2009.08.11	2009.08.18
2754	190	115	2009.08.11	2009.08.14
2755	96	199	2009.08.11	2009.08.16
2756	264	131	2009.08.11	2009.08.28
2757	610	96	2009.08.11	2009.08.14
2758	427	104	2009.08.11	2009.08.21
2759	569	130	2009.08.11	2009.09.02
2760	843	48	2009.08.11	2009.08.20
2761	977	217	2009.08.11	2009.08.13
2762	725	128	2009.08.11	2009.08.27
2763	204	197	2009.08.11	2009.09.03
2764	1064	230	2009.08.11	2009.08.19
2765	781	152	2009.08.11	2009.08.23
2766	1040	21	2009.08.11	2009.08.15
2767	556	114	2009.08.11	2009.08.13
2768	975	227	2009.08.11	2009.09.06
2769	338	247	2009.08.11	2009.08.18
2770	751	265	2009.08.11	2009.09.10
2771	575	155	2009.08.11	2009.08.25
2772	923	40	2009.08.11	2009.09.02
2773	638	225	2009.08.11	2009.08.12
2774	802	175	2009.08.11	2009.08.13
2775	160	17	2009.08.11	2009.08.14
2776	480	223	2009.08.12	2009.09.10
2777	597	222	2009.08.12	2009.09.11
2778	924	226	2009.08.12	2009.08.24
2779	230	266	2009.08.12	2009.08.18
2780	343	209	2009.08.12	2009.08.16
2781	481	27	2009.08.12	2009.08.16
2782	382	67	2009.08.12	2009.08.17
2783	779	265	2009.08.12	2009.08.16
2784	386	67	2009.08.12	2009.09.07
2785	413	81	2009.08.12	2009.08.19
2786	459	44	2009.08.12	2009.08.14
2787	423	95	2009.08.12	2009.09.11
2788	598	140	2009.08.12	2009.08.28
2789	948	62	2009.08.12	2009.08.15
2790	1069	127	2009.08.12	2009.09.04
2791	1043	156	2009.08.12	2009.08.27
2792	497	129	2009.08.12	2009.09.02
2793	419	209	2009.08.12	2009.08.15
2794	43	195	2009.08.12	2009.08.17
2795	263	77	2009.08.12	2009.08.17
2796	893	179	2009.08.12	2009.08.18
2797	442	174	2009.08.12	2009.08.15
2798	613	70	2009.08.12	2009.09.01
2799	724	140	2009.08.12	2009.08.17
2800	179	127	2009.08.12	2009.08.22
2801	1017	224	2009.08.12	2009.09.09
2802	17	175	2009.08.12	2009.08.14
2803	221	91	2009.08.12	2009.09.04
2804	1062	196	2009.08.12	2009.08.18
2805	286	200	2009.08.12	2009.08.16
2806	127	251	2009.08.12	2009.08.26
2807	632	119	2009.08.12	2009.08.16
2808	944	58	2009.08.12	2009.08.17
2809	58	197	2009.08.12	2009.09.02
2810	832	43	2009.08.12	2009.08.13
2811	622	263	2009.08.12	2009.08.28
2812	178	174	2009.08.12	2009.08.14
2813	13	163	2009.08.12	2009.08.23
2814	153	126	2009.08.12	2009.08.14
2815	124	87	2009.08.12	2009.08.17
2816	205	264	2009.08.12	2009.08.19
2817	848	215	2009.08.12	2009.08.15
2818	266	93	2009.08.12	2009.08.19
2819	667	164	2009.08.12	2009.08.26
2820	704	71	2009.08.12	2009.08.20
2821	516	264	2009.08.12	2009.08.18
2822	341	115	2009.08.12	2009.08.16
2823	827	199	2009.08.12	2009.08.15
2824	296	83	2009.08.12	2009.09.09
2825	8	45	2009.08.12	2009.08.19
2826	1074	229	2009.08.12	2009.08.17
2827	183	19	2009.08.12	2009.08.17
2828	738	3	2009.08.12	2009.08.15
2829	586	27	2009.08.12	2009.08.31
2830	637	26	2009.08.12	2009.08.17
2831	772	258	2009.08.12	2009.09.03
2832	908	85	2009.08.12	2009.08.13
2833	984	147	2009.08.12	2009.09.07
2834	228	89	2009.08.12	2009.08.23
2835	714	138	2009.08.12	2009.08.13
2836	1033	53	2009.08.12	2009.08.27
2837	148	86	2009.08.12	2009.08.25
2838	655	229	2009.08.12	2009.08.17
2839	1000	112	2009.08.12	2009.08.17
2840	389	145	2009.08.12	2009.08.24
2841	833	249	2009.08.12	2009.08.18
2842	78	60	2009.08.12	2009.08.23
2843	325	129	2009.08.12	2009.08.21
2844	1048	214	2009.08.12	2009.08.17
2845	460	72	2009.08.12	2009.08.14
2846	82	220	2009.08.13	2009.08.17
2847	826	115	2009.08.13	2009.08.14
2848	498	259	2009.08.13	2009.08.18
2849	1042	153	2009.08.13	2009.08.14
2850	1087	120	2009.08.13	2009.09.10
2851	271	120	2009.08.13	2009.08.29
2852	762	16	2009.08.13	2009.08.19
2853	139	206	2009.08.13	2009.08.28
2854	255	81	2009.08.13	2009.08.29
2855	645	228	2009.08.13	2009.08.21
2856	842	182	2009.08.13	2009.08.17
2857	85	37	2009.08.13	2009.08.15
2858	938	71	2009.08.13	2009.09.06
2859	862	218	2009.08.13	2009.08.18
2860	136	227	2009.08.13	2009.08.17
2861	700	138	2009.08.13	2009.09.04
2862	705	18	2009.08.13	2009.08.23
2863	872	93	2009.08.13	2009.09.06
2864	309	112	2009.08.13	2009.08.14
2865	863	215	2009.08.13	2009.08.26
2866	471	85	2009.08.13	2009.08.15
2867	241	211	2009.08.13	2009.08.15
2868	369	32	2009.08.13	2009.08.17
2869	248	73	2009.08.13	2009.08.15
2870	577	111	2009.08.13	2009.08.27
2871	958	113	2009.08.13	2009.08.17
2872	980	2	2009.08.13	2009.08.19
2873	251	107	2009.08.13	2009.08.14
2874	80	128	2009.08.13	2009.08.29
2875	336	218	2009.08.13	2009.08.15
2876	134	98	2009.08.13	2009.08.29
2877	152	46	2009.08.13	2009.08.30
2878	561	129	2009.08.13	2009.09.05
2879	351	183	2009.08.13	2009.09.03
2880	247	85	2009.08.13	2009.08.31
2881	878	24	2009.08.13	2009.08.19
2882	715	18	2009.08.13	2009.08.23
2883	807	141	2009.08.13	2009.08.21
2884	1039	151	2009.08.13	2009.08.20
2885	710	145	2009.08.13	2009.08.14
2886	216	48	2009.08.13	2009.08.17
2887	71	9	2009.08.13	2009.08.15
2888	120	101	2009.08.13	2009.08.26
2889	311	261	2009.08.13	2009.08.25
2890	407	130	2009.08.13	2009.08.26
2891	614	157	2009.08.13	2009.09.02
2892	168	38	2009.08.13	2009.08.31
2893	1035	200	2009.08.13	2009.08.18
2894	571	82	2009.08.13	2009.08.19
2895	220	173	2009.08.13	2009.08.23
2896	916	214	2009.08.13	2009.09.07
2897	1031	252	2009.08.13	2009.08.27
2898	801	140	2009.08.13	2009.08.25
2899	931	104	2009.08.13	2009.08.19
2900	283	256	2009.08.13	2009.09.08
2901	303	263	2009.08.13	2009.08.14
2902	553	81	2009.08.13	2009.09.09
2903	171	42	2009.08.13	2009.08.20
2904	170	243	2009.08.13	2009.08.24
2905	1029	140	2009.08.13	2009.08.28
2906	524	64	2009.08.13	2009.09.10
2907	349	33	2009.08.13	2009.08.20
2908	555	158	2009.08.13	2009.09.12
2909	1016	63	2009.08.13	2009.09.12
2910	111	191	2009.08.13	2009.08.29
2911	196	189	2009.08.13	2009.08.17
2912	378	207	2009.08.13	2009.09.06
2913	33	97	2009.08.13	2009.08.23
2914	671	39	2009.08.13	2009.08.19
2915	690	223	2009.08.13	2009.09.01
2916	1021	210	2009.08.13	2009.08.15
2917	585	235	2009.08.13	2009.08.16
2918	952	1	2009.08.13	2009.08.25
2919	616	86	2009.08.13	2009.09.06
2920	1030	1	2009.08.13	2009.08.15
2921	802	59	2009.08.13	2009.09.04
2922	173	65	2009.08.13	2009.08.30
2923	240	184	2009.08.13	2009.08.18
2924	14	253	2009.08.14	2009.09.06
2925	199	14	2009.08.14	2009.08.20
2926	482	139	2009.08.14	2009.09.08
2927	627	210	2009.08.14	2009.08.20
2928	817	249	2009.08.14	2009.08.18
2929	334	10	2009.08.14	2009.08.25
2930	567	259	2009.08.14	2009.08.24
2931	851	87	2009.08.14	2009.08.21
2932	1093	165	2009.08.14	2009.08.15
2933	135	164	2009.08.14	2009.08.23
2934	339	175	2009.08.14	2009.09.04
2935	670	267	2009.08.14	2009.09.12
2936	420	95	2009.08.14	2009.09.09
2937	268	244	2009.08.14	2009.08.17
2938	424	260	2009.08.14	2009.08.27
2939	92	162	2009.08.14	2009.08.30
2940	276	106	2009.08.14	2009.08.21
2941	63	259	2009.08.14	2009.08.19
2942	98	225	2009.08.14	2009.08.22
2943	219	70	2009.08.14	2009.09.01
2944	262	147	2009.08.14	2009.09.04
2945	695	259	2009.08.14	2009.08.17
2946	572	32	2009.08.14	2009.08.25
2947	915	256	2009.08.14	2009.09.09
2948	278	25	2009.08.14	2009.08.19
2949	370	4	2009.08.14	2009.08.16
2950	188	98	2009.08.14	2009.08.15
2951	23	72	2009.08.14	2009.08.18
2952	287	173	2009.08.14	2009.08.17
2953	969	205	2009.08.14	2009.08.23
2954	1088	180	2009.08.14	2009.09.02
2955	144	218	2009.08.14	2009.08.25
2956	525	129	2009.08.14	2009.08.28
2957	953	250	2009.08.14	2009.09.03
2958	675	244	2009.08.14	2009.09.07
2959	254	85	2009.08.14	2009.09.01
2960	345	265	2009.08.14	2009.08.18
2961	861	50	2009.08.14	2009.08.29
2962	885	144	2009.08.14	2009.08.17
2963	400	55	2009.08.14	2009.08.18
2964	520	26	2009.08.14	2009.08.18
2965	190	255	2009.08.14	2009.08.26
2966	157	179	2009.08.14	2009.08.23
2967	1002	259	2009.08.14	2009.09.02
2968	210	245	2009.08.14	2009.09.12
2969	813	209	2009.08.14	2009.08.16
2970	737	11	2009.08.14	2009.08.19
2971	429	239	2009.08.14	2009.08.21
2972	250	231	2009.08.14	2009.09.13
2973	1010	219	2009.08.14	2009.08.24
2974	176	20	2009.08.14	2009.08.16
2975	732	69	2009.08.14	2009.09.07
2976	359	143	2009.08.14	2009.08.17
2977	749	219	2009.08.14	2009.08.30
2978	390	66	2009.08.14	2009.08.16
2979	661	94	2009.08.14	2009.08.17
2980	280	12	2009.08.14	2009.08.17
2981	633	185	2009.08.14	2009.08.21
2982	718	53	2009.08.14	2009.08.20
2983	935	87	2009.08.14	2009.08.21
2984	791	76	2009.08.14	2009.09.08
2985	881	7	2009.08.14	2009.08.18
2986	331	82	2009.08.14	2009.08.15
2987	108	83	2009.08.15	2009.09.04
2988	740	50	2009.08.15	2009.08.22
2989	959	255	2009.08.15	2009.08.19
2990	109	232	2009.08.15	2009.09.06
2991	116	268	2009.08.15	2009.08.19
2992	395	116	2009.08.15	2009.08.22
2993	623	218	2009.08.15	2009.09.01
2994	838	130	2009.08.15	2009.08.31
2995	512	125	2009.08.15	2009.08.25
2996	541	195	2009.08.15	2009.08.16
2997	459	155	2009.08.15	2009.09.10
2998	795	91	2009.08.15	2009.08.19
2999	875	123	2009.08.15	2009.09.11
3000	350	137	2009.08.15	2009.08.20
3001	858	209	2009.08.15	2009.08.18
3002	664	153	2009.08.15	2009.09.06
3003	871	145	2009.08.15	2009.08.20
3004	989	2	2009.08.15	2009.08.30
3005	253	249	2009.08.15	2009.09.03
3006	211	155	2009.08.15	2009.08.30
3007	948	91	2009.08.15	2009.09.04
3008	27	157	2009.08.15	2009.08.31
3009	464	28	2009.08.15	2009.09.07
3010	603	187	2009.08.15	2009.09.02
3011	288	77	2009.08.15	2009.08.22
3012	309	239	2009.08.15	2009.09.06
3013	697	35	2009.08.15	2009.08.23
3014	573	73	2009.08.15	2009.09.01
3015	920	149	2009.08.15	2009.08.22
3016	248	248	2009.08.15	2009.08.19
3017	800	115	2009.08.15	2009.08.22
3018	484	19	2009.08.15	2009.09.13
3019	312	64	2009.08.15	2009.08.21
3020	865	97	2009.08.15	2009.08.25
3021	403	31	2009.08.15	2009.09.10
3022	256	134	2009.08.15	2009.09.03
3023	810	33	2009.08.15	2009.08.20
3024	461	49	2009.08.15	2009.08.17
3025	748	214	2009.08.15	2009.08.17
3026	774	224	2009.08.15	2009.08.22
3027	375	28	2009.08.15	2009.09.07
3028	606	22	2009.08.15	2009.08.27
3029	102	19	2009.08.15	2009.09.13
3030	580	170	2009.08.15	2009.08.18
3031	243	133	2009.08.15	2009.09.14
3032	449	145	2009.08.15	2009.08.17
3033	978	223	2009.08.15	2009.08.28
3034	6	182	2009.08.15	2009.08.22
3035	593	132	2009.08.15	2009.08.21
3036	34	15	2009.08.15	2009.08.19
3037	866	209	2009.08.15	2009.08.22
3038	961	33	2009.08.15	2009.09.13
3039	492	74	2009.08.15	2009.08.19
3040	933	46	2009.08.15	2009.09.14
3041	357	172	2009.08.15	2009.09.13
3042	239	13	2009.08.15	2009.08.30
3043	596	14	2009.08.15	2009.08.23
3044	207	178	2009.08.15	2009.08.22
3045	997	225	2009.08.15	2009.08.22
3046	994	197	2009.08.15	2009.08.16
3047	1085	123	2009.08.15	2009.08.22
3048	22	77	2009.08.15	2009.08.24
3049	1045	244	2009.08.15	2009.08.25
3050	450	189	2009.08.15	2009.08.17
3051	1066	51	2009.08.15	2009.08.20
3052	11	13	2009.08.15	2009.09.08
3053	393	79	2009.08.15	2009.08.18
3054	164	114	2009.08.15	2009.09.02
3055	856	252	2009.08.15	2009.08.24
3056	93	17	2009.08.16	2009.09.05
3057	297	173	2009.08.16	2009.08.22
3058	727	45	2009.08.16	2009.09.12
3059	454	4	2009.08.16	2009.09.14
3060	809	17	2009.08.16	2009.08.26
3061	235	213	2009.08.16	2009.09.15
3062	792	46	2009.08.16	2009.08.27
3063	401	72	2009.08.16	2009.08.22
3064	439	249	2009.08.16	2009.08.22
3065	308	170	2009.08.16	2009.08.25
3066	419	219	2009.08.16	2009.08.27
3067	750	103	2009.08.16	2009.08.18
3068	747	209	2009.08.16	2009.09.03
3069	947	149	2009.08.16	2009.09.04
3070	607	11	2009.08.16	2009.09.09
3071	649	100	2009.08.16	2009.09.08
3072	847	77	2009.08.16	2009.08.21
3073	177	62	2009.08.16	2009.08.18
3074	175	236	2009.08.16	2009.08.31
3075	12	212	2009.08.16	2009.08.22
3076	53	124	2009.08.16	2009.08.24
3077	187	28	2009.08.16	2009.09.08
3078	777	250	2009.08.16	2009.08.31
3079	936	37	2009.08.16	2009.09.07
3080	17	40	2009.08.16	2009.08.21
3081	417	206	2009.08.16	2009.08.21
3082	147	53	2009.08.16	2009.09.09
3083	412	212	2009.08.16	2009.09.04
3084	706	26	2009.08.16	2009.08.18
3085	202	239	2009.08.16	2009.08.17
3086	782	240	2009.08.16	2009.08.28
3087	328	227	2009.08.16	2009.08.22
3088	153	18	2009.08.16	2009.08.22
3089	99	119	2009.08.16	2009.08.29
3090	54	75	2009.08.16	2009.08.17
3091	618	210	2009.08.16	2009.08.29
3092	71	38	2009.08.16	2009.08.17
3093	316	22	2009.08.16	2009.08.29
3094	341	147	2009.08.16	2009.08.20
3095	549	200	2009.08.16	2009.09.14
3096	827	162	2009.08.16	2009.09.01
3097	701	233	2009.08.16	2009.09.02
3098	663	146	2009.08.16	2009.09.03
3099	198	42	2009.08.16	2009.08.24
3100	362	8	2009.08.16	2009.08.20
3101	289	65	2009.08.16	2009.08.20
3102	32	111	2009.08.16	2009.08.19
3103	511	145	2009.08.16	2009.09.07
3104	908	75	2009.08.16	2009.08.21
3105	122	81	2009.08.16	2009.08.19
3106	759	122	2009.08.16	2009.09.15
3107	986	207	2009.08.16	2009.09.07
3108	470	207	2009.08.16	2009.08.23
3109	837	247	2009.08.16	2009.08.19
3110	857	75	2009.08.16	2009.08.17
3111	1081	99	2009.08.16	2009.08.25
3112	18	183	2009.08.16	2009.08.27
3113	294	139	2009.08.16	2009.08.18
3114	195	246	2009.08.16	2009.09.07
3115	901	11	2009.08.16	2009.08.18
3116	352	254	2009.08.16	2009.08.19
3117	537	171	2009.08.16	2009.08.29
3118	674	27	2009.08.16	2009.08.21
3119	903	200	2009.08.16	2009.08.21
3120	966	243	2009.08.16	2009.08.17
3121	1092	141	2009.08.16	2009.08.18
3122	712	157	2009.08.16	2009.09.04
3123	79	251	2009.08.16	2009.08.21
3124	821	96	2009.08.16	2009.08.19
3125	133	211	2009.08.17	2009.08.24
3126	635	181	2009.08.17	2009.08.19
3127	955	68	2009.08.17	2009.08.26
3128	1082	115	2009.08.17	2009.09.14
3129	481	247	2009.08.17	2009.09.06
3130	531	129	2009.08.17	2009.08.23
3131	864	184	2009.08.17	2009.09.16
3132	825	109	2009.08.17	2009.08.23
3133	233	239	2009.08.17	2009.08.29
3134	506	137	2009.08.17	2009.09.02
3135	870	260	2009.08.17	2009.08.24
3136	223	33	2009.08.17	2009.09.01
3137	770	204	2009.08.17	2009.09.15
3138	1023	204	2009.08.17	2009.09.08
3139	907	102	2009.08.17	2009.08.29
3140	377	4	2009.08.17	2009.08.24
3141	468	155	2009.08.17	2009.08.24
3142	724	95	2009.08.17	2009.08.20
3143	995	144	2009.08.17	2009.09.09
3144	86	256	2009.08.17	2009.09.06
3145	226	181	2009.08.17	2009.08.20
3146	769	265	2009.08.17	2009.08.21
3147	595	185	2009.08.17	2009.08.21
3148	192	180	2009.08.17	2009.09.02
3149	546	178	2009.08.17	2009.08.19
3150	1019	159	2009.08.17	2009.08.24
3151	944	228	2009.08.17	2009.08.18
3152	1057	47	2009.08.17	2009.08.19
3153	149	71	2009.08.17	2009.08.30
3154	612	176	2009.08.17	2009.08.28
3155	852	135	2009.08.17	2009.08.24
3156	188	240	2009.08.17	2009.09.13
3157	301	75	2009.08.17	2009.08.22
3158	434	150	2009.08.17	2009.08.21
3159	1027	244	2009.08.17	2009.08.18
3160	1095	71	2009.08.17	2009.08.19
3161	998	174	2009.08.17	2009.09.14
3162	722	150	2009.08.17	2009.08.24
3163	42	157	2009.08.17	2009.08.18
3164	658	131	2009.08.17	2009.08.23
