az	muaz	ar	beszerzes
1024	65	988	2008.05.04
1025	72	755	2007.06.14
1026	50	1198	2006.10.24
1027	58	1169	2008.07.26
1028	59	1207	2008.01.09
1029	85	940	2008.11.22
1030	103	1249	2007.10.30
1031	75	831	2006.05.12
1032	47	742	2006.01.25
1033	97	1113	2006.01.03
1034	24	1440	2005.08.11
1035	72	1455	2006.02.16
1036	36	722	2005.09.24
1037	104	1135	2005.04.20
1038	98	769	2008.10.31
1039	51	1325	2008.06.18
1040	91	1357	2006.01.08
1041	5	940	2008.05.12
1042	9	1421	2004.03.25
1043	19	755	2007.02.04
1044	58	1194	2008.11.24
1045	92	1153	2006.07.02
1046	19	1010	2007.04.11
1047	101	1060	2006.05.22
1048	108	1209	2007.05.03
1049	12	911	2006.12.29
1050	104	740	2007.06.19
1051	37	1370	2006.11.15
1052	92	1038	2009.03.06
1053	72	845	2004.06.10
1054	46	1492	2005.05.28
1055	90	1319	2006.07.26
1056	19	1340	2008.06.13
1057	46	755	2007.04.10
1058	37	823	2007.01.20
1059	5	889	2007.09.13
1060	101	1136	2007.05.20
1061	91	1281	2005.01.11
1062	39	898	2005.12.18
1063	72	705	2006.10.15
1064	90	1395	2007.07.23
1065	100	717	2006.02.03
1066	101	704	2004.11.19
1067	46	1416	2004.05.31
1068	63	1154	2008.05.27
1069	17	1392	2005.12.26
1070	75	945	2008.11.20
1071	92	1013	2008.11.05
1072	50	1008	2008.06.30
1073	96	1291	2005.03.13
1074	72	819	2004.02.11
1075	101	1009	2005.09.23
1076	101	1416	2007.11.23
1077	101	1480	2004.07.21
1078	100	984	2005.05.25
1079	46	1467	2005.01.27
1080	36	773	2006.05.24
1081	92	1242	2008.09.12
1082	5	914	2008.01.12
1083	100	1098	2007.12.05
1084	96	744	2005.05.18
1085	91	1090	2006.09.18
1086	37	925	2008.05.17
1087	9	1307	2006.11.28
1088	63	722	2005.11.28
1089	63	1408	2008.08.02
1090	104	1351	2009.02.24
1091	19	1086	2008.04.08
1092	104	931	2005.10.12
1093	17	1011	2004.02.25
1094	104	1071	2008.08.21
1095	63	1179	2008.09.25
1096	104	970	2007.04.26
1097	39	924	2006.04.18
1098	39	1127	2005.10.25
1099	96	1431	2008.01.21
1100	96	706	2009.01.17
1101	96	1482	2008.09.19
1102	104	1300	2008.06.27
1103	96	770	2005.09.16
1104	96	1406	2007.09.22
