id	hallgatoid	datum	lap	oldal
931	34	2012.10.12	10	1
932	58	2012.10.12	5	1
933	53	2012.10.12	8	2
934	43	2012.10.12	2	1
935	71	2012.10.12	16	1
936	41	2012.10.12	12	2
937	66	2012.10.12	13	1
938	47	2012.10.12	5	1
939	49	2012.10.12	1	2
940	24	2012.10.12	19	1
941	39	2012.10.12	22	1
942	63	2012.10.12	11	1
943	88	2012.10.12	8	2
944	40	2012.10.12	17	2
945	37	2012.10.12	25	1
946	84	2012.10.12	23	1
947	82	2012.10.12	10	1
948	70	2012.10.12	2	1
949	10	2012.10.12	7	1
950	50	2012.10.12	30	1
951	83	2012.10.12	9	1
952	67	2012.10.13	27	2
953	66	2012.10.14	3	1
954	67	2012.10.14	5	2
955	8	2012.10.14	21	1
956	19	2012.10.14	27	2
957	85	2012.10.14	1	2
958	62	2012.10.15	9	2
959	39	2012.10.15	3	2
960	84	2012.10.15	14	2
961	28	2012.10.15	5	2
962	22	2012.10.15	5	2
963	15	2012.10.15	28	1
964	74	2012.10.15	21	1
965	52	2012.10.15	7	2
966	2	2012.10.15	12	2
967	48	2012.10.15	10	2
968	59	2012.10.15	27	1
969	31	2012.10.15	20	1
970	34	2012.10.15	25	1
971	28	2012.10.15	19	1
972	2	2012.10.15	14	1
973	9	2012.10.15	2	2
974	91	2012.10.15	29	2
975	44	2012.10.15	12	1
976	45	2012.10.15	29	1
977	47	2012.10.15	5	1
978	65	2012.10.15	30	1
979	34	2012.10.15	17	1
980	5	2012.10.15	2	1
981	23	2012.10.15	23	1
982	45	2012.10.15	21	1
983	55	2012.10.15	18	1
984	78	2012.10.15	29	2
985	9	2012.10.15	11	1
986	33	2012.10.15	19	2
987	75	2012.10.15	14	1
988	36	2012.10.15	20	1
989	13	2012.10.15	20	1
990	88	2012.10.15	4	1
991	5	2012.10.15	18	1
992	65	2012.10.15	29	2
993	56	2012.10.15	1	1
994	26	2012.10.15	14	1
995	7	2012.10.15	27	1
996	61	2012.10.15	16	1
997	84	2012.10.15	5	1
998	9	2012.10.15	27	1
999	85	2012.10.15	22	1
1000	76	2012.10.15	1	1
1001	14	2012.10.15	10	2
1002	29	2012.10.15	10	1
1003	10	2012.10.15	15	1
1004	75	2012.10.15	11	1
1005	12	2012.10.15	20	2
1006	91	2012.10.15	30	1
1007	20	2012.10.15	9	1
1008	43	2012.10.15	20	1
1009	83	2012.10.15	23	1
1010	37	2012.10.15	11	1
1011	89	2012.10.15	5	1
1012	66	2012.10.15	5	1
1013	11	2012.10.15	4	1
1014	66	2012.10.15	7	2
1015	23	2012.10.15	6	2
1016	26	2012.10.15	15	1
1017	50	2012.10.16	21	1
1018	58	2012.10.16	26	1
1019	35	2012.10.16	19	2
1020	43	2012.10.16	23	1
1021	22	2012.10.16	2	2
1022	81	2012.10.16	5	1
1023	68	2012.10.16	25	2
1024	39	2012.10.16	27	1
1025	63	2012.10.16	2	1
1026	16	2012.10.16	8	2
1027	10	2012.10.16	12	1
1028	11	2012.10.16	13	1
1029	35	2012.10.16	16	1
1030	37	2012.10.16	12	1
1031	40	2012.10.16	28	2
1032	10	2012.10.16	4	1
1033	6	2012.10.16	28	1
1034	21	2012.10.16	12	1
1035	37	2012.10.16	3	2
1036	87	2012.10.16	24	1
1037	75	2012.10.16	19	1
1038	4	2012.10.16	6	2
1039	74	2012.10.16	29	1
1040	14	2012.10.16	23	1
1041	77	2012.10.16	25	2
1042	22	2012.10.16	17	2
1043	50	2012.10.16	7	1
1044	69	2012.10.16	1	1
1045	53	2012.10.16	16	1
1046	16	2012.10.16	9	1
1047	13	2012.10.16	5	2
1048	59	2012.10.16	6	1
1049	82	2012.10.16	21	1
1050	24	2012.10.16	26	2
1051	30	2012.10.16	16	2
1052	19	2012.10.16	2	1
1053	72	2012.10.16	28	2
1054	19	2012.10.16	11	2
1055	52	2012.10.16	24	1
1056	31	2012.10.16	30	2
1057	62	2012.10.16	27	1
1058	9	2012.10.16	20	1
1059	76	2012.10.16	21	1
1060	33	2012.10.17	4	2
1061	46	2012.10.17	7	2
1062	40	2012.10.17	28	1
1063	31	2012.10.17	18	2
1064	36	2012.10.17	1	1
1065	57	2012.10.17	13	2
1066	66	2012.10.17	18	1
1067	39	2012.10.17	7	1
1068	3	2012.10.17	3	2
1069	57	2012.10.17	13	2
1070	72	2012.10.17	21	1
1071	51	2012.10.17	14	2
1072	43	2012.10.17	30	1
1073	18	2012.10.17	21	1
1074	27	2012.10.17	11	1
1075	85	2012.10.17	29	2
1076	71	2012.10.17	17	1
1077	15	2012.10.17	17	2
1078	37	2012.10.17	22	1
1079	25	2012.10.17	15	2
1080	76	2012.10.17	9	2
1081	11	2012.10.17	9	1
1082	22	2012.10.17	12	1
1083	49	2012.10.17	26	1
1084	54	2012.10.17	2	1
1085	85	2012.10.17	7	1
1086	17	2012.10.17	3	2
1087	66	2012.10.17	26	1
1088	18	2012.10.17	27	2
1089	78	2012.10.17	27	2
1090	61	2012.10.17	5	2
1091	13	2012.10.18	27	1
1092	82	2012.10.18	23	1
1093	9	2012.10.18	7	2
1094	10	2012.10.18	21	1
1095	13	2012.10.18	26	1
1096	29	2012.10.18	30	2
1097	28	2012.10.18	30	1
1098	78	2012.10.18	16	1
1099	67	2012.10.18	1	2
1100	59	2012.10.18	26	1
1101	41	2012.10.18	19	2
1102	58	2012.10.18	1	1
1103	89	2012.10.18	18	2
1104	82	2012.10.18	27	2
1105	74	2012.10.18	24	1
1106	76	2012.10.18	23	1
1107	8	2012.10.18	26	2
1108	8	2012.10.18	10	2
1109	51	2012.10.18	20	2
1110	4	2012.10.18	22	1
1111	30	2012.10.19	7	1
1112	33	2012.10.19	13	1
1113	2	2012.10.19	12	1
1114	30	2012.10.19	19	1
1115	57	2012.10.19	8	1
1116	8	2012.10.19	1	1
1117	56	2012.10.19	14	1
1118	66	2012.10.20	10	1
1119	36	2012.10.20	17	1
1120	3	2012.10.21	12	1
1121	86	2012.10.21	13	1
1122	35	2012.10.21	28	1
1123	63	2012.10.21	23	1
1124	56	2012.10.21	11	1
1125	21	2012.10.21	18	2
1126	83	2012.10.22	26	1
1127	2	2012.10.22	6	1
1128	23	2012.10.23	1	2
1129	26	2012.10.23	17	2
1130	11	2012.10.23	9	1
1131	31	2012.10.23	2	1
1132	67	2012.10.23	19	1
1133	8	2012.10.23	27	2
1134	36	2012.10.23	18	2
1135	83	2012.10.23	4	2
1136	48	2012.10.23	6	1
1137	81	2012.10.23	10	2
1138	42	2012.10.23	30	1
1139	3	2012.10.23	19	1
1140	31	2012.10.23	11	1
1141	31	2012.10.23	12	2
1142	7	2012.10.23	26	1
1143	30	2012.10.23	30	1
1144	66	2012.10.23	26	1
1145	18	2012.10.23	23	2
1146	73	2012.10.23	12	1
1147	24	2012.10.23	9	1
1148	85	2012.10.23	24	1
1149	16	2012.10.23	8	1
1150	91	2012.10.23	30	1
1151	61	2012.10.23	6	1
1152	25	2012.10.23	21	2
1153	44	2012.10.23	20	1
1154	61	2012.10.23	1	1
1155	30	2012.10.23	10	1
1156	31	2012.10.23	12	1
1157	78	2012.10.23	23	1
1158	14	2012.10.23	16	1
1159	38	2012.10.23	29	1
1160	77	2012.10.23	12	2
1161	40	2012.10.23	13	1
1162	12	2012.10.23	22	1
1163	37	2012.10.23	8	1
1164	46	2012.10.23	18	2
1165	49	2012.10.23	12	2
1166	82	2012.10.23	2	1
1167	20	2012.10.23	24	2
1168	74	2012.10.23	10	1
1169	5	2012.10.23	11	2
1170	67	2012.10.23	25	2
1171	87	2012.10.23	11	1
1172	74	2012.10.23	22	1
1173	41	2012.10.23	10	1
1174	9	2012.10.23	3	1
1175	21	2012.10.23	10	1
1176	29	2012.10.23	20	2
1177	42	2012.10.23	6	1
1178	53	2012.10.23	8	1
1179	66	2012.10.23	28	1
1180	13	2012.10.23	10	1
1181	59	2012.10.23	10	2
1182	60	2012.10.23	5	1
1183	7	2012.10.23	11	2
1184	3	2012.10.23	9	1
1185	61	2012.10.23	10	1
1186	24	2012.10.23	8	1
1187	25	2012.10.23	7	1
1188	91	2012.10.23	1	1
1189	78	2012.10.23	7	1
1190	81	2012.10.23	8	1
1191	19	2012.10.23	30	2
1192	73	2012.10.23	21	1
1193	35	2012.10.23	26	1
1194	80	2012.10.24	12	1
1195	62	2012.10.24	15	1
1196	43	2012.10.24	14	1
1197	34	2012.10.24	4	1
1198	37	2012.10.24	9	1
1199	29	2012.10.24	9	2
1200	6	2012.10.24	22	1
1201	44	2012.10.24	12	1
1202	37	2012.10.24	29	2
1203	16	2012.10.24	9	1
1204	22	2012.10.24	4	1
1205	88	2012.10.24	9	1
1206	11	2012.10.24	7	1
1207	50	2012.10.24	15	1
1208	12	2012.10.24	26	1
1209	43	2012.10.24	4	2
1210	23	2012.10.24	28	1
1211	76	2012.10.24	11	1
1212	24	2012.10.24	28	2
1213	37	2012.10.24	11	1
1214	91	2012.10.24	7	1
1215	38	2012.10.24	4	1
1216	2	2012.10.24	7	1
1217	54	2012.10.24	15	1
1218	78	2012.10.25	3	1
1219	89	2012.10.25	12	2
1220	66	2012.10.25	18	2
1221	16	2012.10.25	9	1
1222	56	2012.10.25	14	1
1223	5	2012.10.25	19	1
1224	87	2012.10.25	8	1
1225	28	2012.10.25	19	1
1226	43	2012.10.25	18	2
1227	1	2012.10.25	8	1
1228	71	2012.10.25	20	1
1229	66	2012.10.26	5	1
1230	63	2012.10.26	13	2
1231	82	2012.10.26	11	2
1232	59	2012.10.26	17	2
1233	59	2012.10.26	28	2
1234	83	2012.10.26	28	1
1235	46	2012.10.26	11	1
1236	43	2012.10.26	13	1
1237	29	2012.10.26	2	1
1238	46	2012.10.26	19	2
1239	65	2012.10.26	11	1
1240	26	2012.10.26	18	1
1241	87	2012.10.26	13	1
1242	68	2012.10.26	24	2
1243	87	2012.10.26	27	2
1244	62	2012.10.26	13	1
1245	14	2012.10.26	2	1
1246	41	2012.10.26	25	1
1247	51	2012.10.26	11	1
1248	18	2012.10.26	17	1
1249	12	2012.10.26	5	1
1250	41	2012.10.26	23	2
1251	38	2012.10.26	21	2
1252	50	2012.10.26	10	1
1253	3	2012.10.26	18	1
1254	33	2012.10.26	20	2
1255	55	2012.10.26	12	1
1256	13	2012.10.26	18	2
1257	75	2012.10.26	2	1
1258	29	2012.10.26	9	1
1259	37	2012.10.26	11	1
1260	64	2012.10.26	9	1
1261	34	2012.10.26	9	1
1262	82	2012.10.26	3	1
1263	57	2012.10.26	30	1
1264	58	2012.10.26	27	1
1265	21	2012.10.26	12	1
1266	24	2012.10.26	22	2
1267	28	2012.10.26	6	2
1268	75	2012.10.26	17	1
1269	16	2012.10.26	16	1
1270	73	2012.10.27	17	2
1271	12	2012.10.27	13	2
1272	45	2012.10.27	7	1
1273	23	2012.10.27	3	1
1274	91	2012.10.27	2	1
1275	81	2012.10.27	21	1
1276	27	2012.10.27	20	1
1277	34	2012.10.28	27	2
1278	49	2012.10.28	13	1
1279	40	2012.10.28	18	1
1280	45	2012.10.28	8	1
1281	78	2012.10.28	6	2
1282	41	2012.10.28	3	1
1283	12	2012.10.28	16	1
1284	79	2012.10.28	10	1
1285	66	2012.10.28	9	1
1286	2	2012.10.29	27	1
1287	92	2012.10.29	17	1
1288	35	2012.10.29	12	1
1289	48	2012.10.29	16	1
1290	87	2012.10.29	9	1
1291	73	2012.10.29	27	1
1292	22	2012.10.29	3	1
1293	77	2012.10.29	9	2
1294	10	2012.10.29	14	1
1295	65	2012.10.29	7	1
1296	30	2012.10.29	29	1
1297	30	2012.10.29	6	2
1298	19	2012.10.29	29	1
1299	49	2012.10.29	9	1
1300	80	2012.10.29	30	1
1301	40	2012.10.29	15	1
1302	44	2012.10.29	23	2
1303	84	2012.10.29	10	1
1304	11	2012.10.29	23	1
1305	81	2012.10.29	24	1
1306	65	2012.10.29	1	1
1307	84	2012.10.29	26	1
1308	3	2012.10.29	30	1
1309	22	2012.10.29	8	1
1310	52	2012.10.29	17	1
1311	52	2012.10.29	29	1
1312	38	2012.10.29	15	1
1313	87	2012.10.29	29	2
1314	63	2012.10.29	22	1
1315	12	2012.10.29	21	2
1316	42	2012.10.29	30	1
1317	86	2012.10.29	29	2
1318	37	2012.10.29	30	1
1319	36	2012.10.29	30	1
1320	81	2012.10.29	20	1
1321	27	2012.10.29	2	1
1322	84	2012.10.29	23	1
1323	58	2012.10.29	26	2
1324	46	2012.10.29	17	1
1325	72	2012.10.30	14	1
1326	60	2012.10.30	27	1
1327	75	2012.10.30	16	1
1328	54	2012.10.30	5	1
1329	12	2012.10.30	2	1
1330	76	2012.10.30	2	1
1331	20	2012.10.30	29	1
1332	50	2012.10.30	12	1
1333	64	2012.10.30	9	2
1334	9	2012.10.30	18	1
1335	58	2012.10.30	27	2
1336	18	2012.10.30	26	2
1337	52	2012.10.30	25	1
1338	47	2012.10.30	4	1
1339	13	2012.10.30	28	1
1340	83	2012.10.30	6	2
1341	33	2012.10.30	22	1
1342	12	2012.10.30	15	1
1343	39	2012.10.30	21	2
1344	2	2012.10.30	2	1
1345	39	2012.10.30	3	1
1346	52	2012.10.30	25	2
1347	83	2012.10.30	29	1
1348	34	2012.10.30	15	1
1349	20	2012.10.30	17	1
1350	52	2012.10.30	21	1
1351	40	2012.10.30	24	1
1352	88	2012.10.30	26	1
1353	44	2012.10.30	23	2
1354	7	2012.10.31	12	1
1355	76	2012.11.01	20	1
1356	63	2012.11.01	13	2
1357	31	2012.11.02	1	1
1358	45	2012.11.02	14	2
1359	41	2012.11.02	24	1
1360	20	2012.11.02	9	1
1361	80	2012.11.02	30	2
1362	12	2012.11.02	8	1
1363	34	2012.11.02	30	2
1364	42	2012.11.02	29	1
1365	31	2012.11.02	12	1
1366	7	2012.11.02	5	1
1367	54	2012.11.02	21	2
1368	31	2012.11.02	25	2
1369	34	2012.11.02	19	1
1370	75	2012.11.02	1	1
1371	33	2012.11.02	17	1
1372	49	2012.11.03	12	1
1373	49	2012.11.03	16	1
1374	21	2012.11.03	26	1
1375	50	2012.11.03	6	2
1376	67	2012.11.03	17	2
1377	63	2012.11.03	7	1
1378	29	2012.11.03	19	1
1379	12	2012.11.03	21	2
1380	53	2012.11.03	21	1
1381	10	2012.11.03	28	1
1382	50	2012.11.03	30	1
1383	50	2012.11.03	13	2
1384	92	2012.11.03	11	1
1385	89	2012.11.03	15	1
1386	17	2012.11.03	21	1
1387	59	2012.11.03	27	1
1388	88	2012.11.03	30	1
1389	42	2012.11.03	24	2
1390	31	2012.11.03	30	1
1391	73	2012.11.04	26	1
1392	64	2012.11.04	13	2
1393	59	2012.11.04	19	2
1394	89	2012.11.04	4	1
1395	3	2012.11.04	2	1
1396	80	2012.11.04	14	1
1397	48	2012.11.04	16	1
1398	57	2012.11.04	2	1
1399	26	2012.11.04	23	1
1400	57	2012.11.04	6	1
1401	37	2012.11.04	25	1
1402	67	2012.11.04	4	1
1403	14	2012.11.04	13	2
1404	66	2012.11.04	8	1
1405	42	2012.11.04	19	2
1406	19	2012.11.04	20	1
1407	68	2012.11.04	15	2
1408	42	2012.11.04	6	1
1409	23	2012.11.04	9	2
1410	37	2012.11.04	26	2
1411	6	2012.11.04	25	1
1412	69	2012.11.04	8	1
1413	54	2012.11.04	18	1
1414	30	2012.11.04	23	1
1415	56	2012.11.04	11	1
1416	44	2012.11.04	21	1
1417	84	2012.11.05	20	1
1418	48	2012.11.05	26	1
1419	48	2012.11.05	30	1
1420	20	2012.11.05	7	1
1421	36	2012.11.05	28	2
1422	52	2012.11.05	25	2
1423	36	2012.11.05	5	2
1424	34	2012.11.06	8	1
1425	71	2012.11.06	3	1
1426	44	2012.11.06	6	1
1427	7	2012.11.06	21	1
1428	90	2012.11.06	27	2
1429	51	2012.11.06	28	2
1430	49	2012.11.06	12	1
1431	62	2012.11.06	27	1
1432	92	2012.11.06	20	1
1433	62	2012.11.06	11	2
1434	69	2012.11.06	7	1
1435	72	2012.11.06	1	1
1436	3	2012.11.06	15	1
1437	79	2012.11.06	18	1
1438	35	2012.11.06	3	1
1439	92	2012.11.06	22	1
1440	4	2012.11.06	30	1
1441	13	2012.11.06	17	1
1442	38	2012.11.06	21	1
1443	39	2012.11.06	29	1
1444	72	2012.11.06	23	1
1445	37	2012.11.06	7	1
1446	43	2012.11.06	14	1
1447	52	2012.11.06	7	2
1448	82	2012.11.06	3	1
1449	42	2012.11.06	29	1
1450	34	2012.11.06	26	2
1451	68	2012.11.06	21	1
1452	5	2012.11.06	16	1
1453	39	2012.11.06	6	1
1454	84	2012.11.06	25	1
1455	25	2012.11.06	7	1
1456	43	2012.11.06	30	2
1457	90	2012.11.06	4	2
1458	34	2012.11.06	29	1
1459	24	2012.11.06	17	2
1460	24	2012.11.06	4	1
1461	22	2012.11.06	12	1
1462	26	2012.11.06	30	1
1463	90	2012.11.06	22	1
1464	82	2012.11.06	27	1
1465	83	2012.11.06	12	2
1466	29	2012.11.06	1	1
1467	14	2012.11.07	13	1
1468	1	2012.11.07	24	1
1469	35	2012.11.07	14	1
1470	26	2012.11.07	28	1
1471	23	2012.11.08	7	1
1472	10	2012.11.08	25	2
1473	21	2012.11.08	30	1
1474	80	2012.11.08	18	1
1475	72	2012.11.08	28	1
1476	1	2012.11.08	26	1
1477	72	2012.11.08	15	1
1478	1	2012.11.08	30	1
1479	22	2012.11.08	1	1
1480	30	2012.11.08	6	1
1481	79	2012.11.08	23	1
1482	11	2012.11.08	16	1
1483	75	2012.11.08	10	1
1484	67	2012.11.08	21	2
1485	44	2012.11.08	21	1
1486	13	2012.11.08	30	2
1487	13	2012.11.08	3	1
1488	74	2012.11.09	20	1
1489	25	2012.11.10	12	1
1490	77	2012.11.11	20	1
1491	75	2012.11.11	21	1
1492	45	2012.11.11	19	1
1493	8	2012.11.11	17	1
1494	76	2012.11.11	22	1
1495	43	2012.11.11	20	1
1496	52	2012.11.11	21	2
1497	62	2012.11.11	15	1
1498	13	2012.11.11	24	1
1499	85	2012.11.11	22	2
1500	62	2012.11.11	20	1
1501	8	2012.11.11	22	1
1502	73	2012.11.11	8	2
1503	31	2012.11.11	28	2
1504	20	2012.11.11	29	2
1505	29	2012.11.12	13	2
1506	3	2012.11.12	9	2
1507	13	2012.11.12	1	2
1508	47	2012.11.12	26	1
1509	7	2012.11.12	16	1
1510	45	2012.11.12	10	1
1511	66	2012.11.12	4	1
1512	16	2012.11.12	25	1
1513	92	2012.11.12	23	2
1514	6	2012.11.12	5	2
1515	63	2012.11.12	14	1
1516	61	2012.11.12	15	2
1517	19	2012.11.13	14	1
1518	77	2012.11.13	25	1
1519	30	2012.11.13	23	1
1520	43	2012.11.13	5	1
1521	54	2012.11.13	8	2
1522	29	2012.11.13	27	2
1523	5	2012.11.13	1	1
1524	92	2012.11.13	5	2
1525	50	2012.11.13	10	1
1526	17	2012.11.13	6	1
1527	47	2012.11.13	7	2
1528	55	2012.11.13	11	2
1529	29	2012.11.13	19	1
1530	58	2012.11.13	19	1
1531	15	2012.11.13	23	1
1532	87	2012.11.13	22	1
1533	89	2012.11.13	1	2
1534	20	2012.11.13	29	2
1535	65	2012.11.13	11	1
1536	22	2012.11.13	28	2
1537	41	2012.11.13	22	1
1538	46	2012.11.13	25	2
1539	92	2012.11.13	21	1
1540	54	2012.11.13	4	1
1541	64	2012.11.13	19	2
1542	76	2012.11.13	22	1
1543	15	2012.11.13	26	1
1544	76	2012.11.13	7	1
1545	81	2012.11.13	13	1
1546	70	2012.11.13	10	2
1547	16	2012.11.13	28	2
1548	23	2012.11.13	25	2
1549	62	2012.11.13	30	1
1550	34	2012.11.13	13	1
1551	12	2012.11.13	10	1
1552	41	2012.11.13	22	1
1553	1	2012.11.13	25	1
1554	25	2012.11.13	2	1
1555	66	2012.11.13	16	1
1556	89	2012.11.13	26	2
1557	75	2012.11.13	11	1
1558	21	2012.11.13	28	1
1559	55	2012.11.13	13	1
1560	74	2012.11.13	9	2
1561	12	2012.11.13	13	2
1562	67	2012.11.13	8	1
1563	56	2012.11.13	9	1
1564	20	2012.11.13	10	1
1565	76	2012.11.13	18	1
1566	12	2012.11.13	14	1
1567	53	2012.11.13	30	1
1568	74	2012.11.13	15	2
1569	9	2012.11.13	6	2
1570	52	2012.11.13	17	2
1571	13	2012.11.13	25	1
1572	74	2012.11.13	5	2
1573	53	2012.11.13	12	2
1574	34	2012.11.13	15	1
1575	61	2012.11.13	7	1
1576	62	2012.11.13	30	2
1577	50	2012.11.14	23	2
1578	92	2012.11.14	22	1
1579	31	2012.11.14	27	1
1580	46	2012.11.14	30	1
1581	52	2012.11.14	1	1
1582	14	2012.11.14	2	1
1583	18	2012.11.14	27	1
1584	20	2012.11.14	12	1
1585	8	2012.11.14	22	1
1586	78	2012.11.14	9	1
1587	15	2012.11.14	2	1
1588	7	2012.11.14	11	2
1589	46	2012.11.14	7	1
1590	74	2012.11.14	28	1
1591	1	2012.11.15	5	2
1592	12	2012.11.15	14	1
1593	18	2012.11.15	22	2
1594	83	2012.11.15	5	1
1595	60	2012.11.15	6	1
1596	2	2012.11.15	17	2
1597	14	2012.11.15	24	1
1598	58	2012.11.15	7	1
1599	1	2012.11.15	11	1
1600	55	2012.11.15	21	1
1601	86	2012.11.15	6	1
1602	31	2012.11.15	9	1
1603	56	2012.11.15	5	1
1604	71	2012.11.15	30	1
1605	71	2012.11.15	20	1
1606	6	2012.11.15	28	1
1607	63	2012.11.15	6	2
1608	2	2012.11.15	19	1
1609	81	2012.11.15	14	1
1610	20	2012.11.15	6	2
1611	73	2012.11.15	22	1
1612	62	2012.11.15	10	2
1613	14	2012.11.15	16	2
1614	91	2012.11.16	20	2
1615	15	2012.11.16	16	1
1616	44	2012.11.16	24	1
1617	55	2012.11.16	14	1
1618	12	2012.11.16	17	2
1619	12	2012.11.16	20	1
1620	15	2012.11.16	21	1
1621	90	2012.11.16	10	2
1622	17	2012.11.16	7	1
1623	30	2012.11.16	22	1
1624	35	2012.11.16	22	1
1625	89	2012.11.16	22	1
1626	90	2012.11.16	9	1
1627	79	2012.11.16	16	1
1628	59	2012.11.16	16	1
1629	79	2012.11.16	23	1
1630	67	2012.11.16	27	2
1631	38	2012.11.16	7	1
1632	5	2012.11.16	14	1
1633	72	2012.11.16	20	1
1634	22	2012.11.16	14	1
1635	60	2012.11.16	22	1
1636	60	2012.11.16	5	1
1637	21	2012.11.17	26	2
1638	47	2012.11.17	22	1
1639	50	2012.11.17	29	1
1640	73	2012.11.17	12	2
1641	44	2012.11.17	16	1
1642	31	2012.11.17	27	1
1643	42	2012.11.17	18	2
1644	28	2012.11.17	19	2
1645	1	2012.11.17	10	1
1646	30	2012.11.17	9	1
1647	17	2012.11.17	3	1
1648	8	2012.11.17	9	1
1649	54	2012.11.17	6	1
1650	42	2012.11.17	21	1
1651	74	2012.11.17	19	1
1652	87	2012.11.17	9	2
1653	88	2012.11.17	7	1
1654	92	2012.11.17	17	2
1655	63	2012.11.17	5	1
1656	56	2012.11.17	19	1
1657	31	2012.11.17	30	1
1658	30	2012.11.17	3	2
1659	92	2012.11.17	3	2
1660	69	2012.11.17	11	1
1661	84	2012.11.17	15	1
1662	43	2012.11.17	2	1
1663	16	2012.11.17	19	1
1664	65	2012.11.17	16	1
1665	60	2012.11.17	5	2
1666	13	2012.11.17	19	1
1667	28	2012.11.17	14	1
1668	60	2012.11.17	8	1
1669	82	2012.11.17	4	2
1670	71	2012.11.17	21	1
1671	46	2012.11.17	20	1
1672	26	2012.11.17	12	2
1673	1	2012.11.17	19	1
1674	47	2012.11.17	7	1
1675	69	2012.11.17	30	2
1676	8	2012.11.17	17	1
1677	44	2012.11.17	24	1
1678	24	2012.11.17	22	1
1679	61	2012.11.17	18	1
1680	69	2012.11.17	21	1
1681	69	2012.11.17	28	1
1682	5	2012.11.17	29	1
1683	52	2012.11.17	14	1
1684	29	2012.11.17	4	2
1685	70	2012.11.17	19	1
1686	72	2012.11.17	23	1
1687	59	2012.11.17	7	1
1688	50	2012.11.17	8	1
1689	64	2012.11.17	9	1
1690	34	2012.11.17	9	2
1691	6	2012.11.17	28	1
1692	59	2012.11.17	5	2
1693	7	2012.11.17	3	1
1694	20	2012.11.17	7	1
1695	40	2012.11.17	30	2
1696	36	2012.11.17	22	1
1697	11	2012.11.17	1	1
1698	38	2012.11.17	26	1
1699	62	2012.11.18	18	2
1700	31	2012.11.18	14	1
1701	47	2012.11.19	24	1
1702	23	2012.11.19	8	1
1703	41	2012.11.19	23	1
1704	51	2012.11.20	11	2
1705	18	2012.11.20	6	1
1706	39	2012.11.20	9	2
1707	81	2012.11.20	20	1
1708	67	2012.11.20	25	2
1709	31	2012.11.20	18	2
1710	67	2012.11.20	29	1
1711	21	2012.11.20	3	1
1712	65	2012.11.20	26	1
1713	76	2012.11.20	25	1
1714	72	2012.11.20	5	1
1715	56	2012.11.20	3	1
1716	62	2012.11.20	7	1
1717	23	2012.11.20	15	1
1718	52	2012.11.20	9	1
1719	87	2012.11.20	12	1
1720	43	2012.11.20	16	1
1721	34	2012.11.20	16	1
1722	71	2012.11.20	21	1
1723	10	2012.11.20	16	1
1724	40	2012.11.21	19	2
1725	5	2012.11.21	7	1
1726	3	2012.11.21	27	1
1727	66	2012.11.21	25	1
1728	61	2012.11.21	1	2
1729	72	2012.11.21	5	1
1730	25	2012.11.21	1	1
1731	9	2012.11.22	24	1
1732	28	2012.11.22	17	2
1733	92	2012.11.22	21	2
1734	20	2012.11.22	7	1
1735	37	2012.11.22	3	1
1736	38	2012.11.22	21	1
1737	69	2012.11.22	18	2
1738	53	2012.11.22	22	1
1739	82	2012.11.22	19	2
1740	81	2012.11.22	15	1
1741	15	2012.11.23	9	1
1742	10	2012.11.23	2	1
1743	7	2012.11.23	28	1
1744	84	2012.11.23	8	1
1745	12	2012.11.23	24	2
1746	89	2012.11.23	23	2
1747	44	2012.11.23	23	1
1748	29	2012.11.23	5	1
1749	27	2012.11.23	16	1
1750	21	2012.11.23	25	2
1751	69	2012.11.23	13	2
1752	60	2012.11.23	24	2
1753	53	2012.11.23	1	1
1754	13	2012.11.23	15	1
1755	81	2012.11.23	12	1
1756	44	2012.11.23	1	1
1757	76	2012.11.23	4	1
1758	87	2012.11.23	8	2
1759	3	2012.11.23	3	2
1760	88	2012.11.23	12	1
1761	41	2012.11.23	3	2
1762	58	2012.11.23	17	2
1763	38	2012.11.23	23	1
1764	21	2012.11.23	27	2
1765	19	2012.11.23	20	1
1766	56	2012.11.23	13	2
1767	11	2012.11.23	4	2
1768	69	2012.11.23	23	2
1769	54	2012.11.23	16	1
1770	37	2012.11.23	5	1
1771	52	2012.11.23	14	2
1772	88	2012.11.23	14	1
1773	73	2012.11.23	10	1
1774	50	2012.11.23	23	1
1775	52	2012.11.23	6	2
1776	36	2012.11.23	22	1
1777	71	2012.11.23	2	1
1778	80	2012.11.23	9	2
1779	2	2012.11.23	4	2
1780	39	2012.11.23	11	1
1781	88	2012.11.23	29	1
1782	43	2012.11.23	9	1
1783	59	2012.11.23	28	2
1784	23	2012.11.23	18	1
1785	91	2012.11.23	20	1
1786	17	2012.11.23	21	2
1787	6	2012.11.23	24	2
1788	89	2012.11.23	7	2
1789	24	2012.11.23	9	1
1790	7	2012.11.23	29	1
1791	84	2012.11.23	23	1
1792	4	2012.11.23	28	1
1793	78	2012.11.23	30	1
1794	8	2012.11.23	26	2
1795	38	2012.11.23	30	1
1796	28	2012.11.24	5	2
1797	22	2012.11.24	8	1
1798	60	2012.11.25	5	1
1799	51	2012.11.25	29	1
1800	54	2012.11.25	30	1
1801	10	2012.11.25	24	2
1802	56	2012.11.25	25	1
1803	44	2012.11.25	21	1
1804	30	2012.11.25	24	1
1805	21	2012.11.25	29	1
1806	28	2012.11.25	1	1
1807	1	2012.11.25	16	2
1808	82	2012.11.25	10	2
